Tm,Year,age_computed_mean,age_computed_std,age_computed_min,age_computed_max,experience_mean,experience_std,experience_max,PER_mean,PER_max,PER_std,WS_sum,WS_mean,WS/48_mean,VORP_sum,VORP_mean,BPM_mean,PTS_mean,TRB_mean,AST_mean,G_mean,roster_size,nationality_diversity,avg_draft_pick,star_player_count,TEAM_ID,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
AND,1950,27.9375,1.6111590031195968,25.0,30.0,1.25,0.4472135954999579,2,,,,43.8,2.7375,,0.0,,,349.3125,,77.5,38.8125,16,1,0.0,0,,,,,,
ATL,1969,26.90909090909091,2.8444523358476395,23.0,33.0,4.923076923076923,3.6620016944638913,13,14.038461538461538,19.1,4.2898209872399224,45.5,3.5,0.08676923076923078,0.0,,,701.7692307692307,353.7692307692308,159.15384615384616,55.92307692307692,13,1,5.444444444444445,0,1610612737.0,,,,,
ATL,1970,27.636363636363637,4.006812380751744,22.0,34.0,5.923076923076923,4.32938676299424,14,13.207692307692307,19.0,4.187175169184578,40.4,3.1076923076923078,0.058,0.0,,,742.0,323.84615384615387,164.76923076923077,57.53846153846154,13,1,4.909090909090909,0,1610612737.0,,,,,
ATL,1971,27.0,3.3333333333333335,23.0,32.0,4.916666666666667,4.601547829181222,13,13.325000000000001,18.2,3.342052989079943,35.6,2.966666666666667,0.06499999999999999,0.0,,,779.0,372.6666666666667,158.83333333333334,61.833333333333336,12,1,7.8,0,1610612737.0,,,,,
ATL,1972,26.933333333333334,3.369329451445933,22.0,33.0,4.647058823529412,3.806920942024345,14,12.064705882352941,19.1,5.489414947932816,35.8,2.105882352941176,0.05558823529411765,0.0,,,528.3529411764706,240.0,111.58823529411765,45.11764705882353,17,1,6.285714285714286,0,1610612737.0,,,,,
ATL,1973,26.25,2.3403573930647275,23.0,30.0,4.5,3.7365142126771658,15,12.207142857142857,19.6,4.6909838701843425,40.6,2.9,0.05521428571428571,0.0,,,658.5,298.14285714285717,148.14285714285714,51.5,14,1,6.090909090909091,0,1610612737.0,,,,,
ATL,1974,26.4,3.502380143083653,22.0,31.0,5.083333333333333,4.5016831868926,16,13.483333333333334,20.3,3.9300319992528707,38.6,3.216666666666667,0.07575,8.4,0.7000000000000001,-1.4583333333333333,742.25,329.3333333333333,166.08333333333334,68.16666666666667,12,1,6.0,1,1610612737.0,,,,,
ATL,1975,26.916666666666668,4.077841080619484,21.0,32.0,5.538461538461538,4.095025124371127,13,14.484615384615383,21.4,2.6349719017623165,38.0,2.923076923076923,0.09223076923076924,8.5,0.6538461538461539,-0.6,663.0769230769231,314.9230769230769,144.46153846153845,60.38461538461539,13,1,6.25,1,1610612737.0,,,,,
ATL,1976,24.727272727272727,3.3193646708642635,19.0,32.0,4.153846153846154,4.058861783106068,14,13.46923076923077,25.3,4.521501339043743,34.5,2.6538461538461537,0.05523076923076923,7.1000000000000005,0.5461538461538462,-2.3153846153846156,647.0,289.61538461538464,128.15384615384616,61.84615384615385,13,1,7.181818181818182,1,1610612737.0,,,,,
ATL,1977,25.25,2.9325756597230357,20.0,33.0,3.0,2.422120283277993,11,12.9625,20.2,4.124217097421845,31.7,1.98125,0.0526875,5.8,0.3625,-2.49375,524.625,234.75,117.625,49.4375,16,1,6.2,1,1610612737.0,,,,,
