Player,season_start,REG_PER,REG_TS%,REG_USG%,REG_WS,REG_WS/48,REG_VORP,REG_BPM,REG_OBPM,REG_DBPM,POF_PER,POF_TS%,POF_USG%,POF_WS,POF_WS/48,POF_VORP,POF_BPM,POF_OBPM,POF_DBPM,team
Carlos Arroyo,2003,14.1,0.51,23.8,0.3,0.057,0.1,-1.0,-0.1,-1.0,14.1,0.418,17.8,0.0,0.05,0.0,-1.2,3.0,-4.1,UTA
Carlos Arroyo,2004,16.8,0.517,23.7,4.7,0.112,1.5,0.9,2.0,-1.1,,,,,,,,,,UTA
Carlos Arroyo,2005,10.7,0.458,19.1,0.9,0.06,-0.2,-3.4,-3.7,0.3,10.6,0.398,19.2,0.2,0.049,0.0,-1.6,-2.4,0.8,DET
Carlos Arroyo,2006,12.5,0.433,18.0,1.0,0.079,0.0,-2.2,-2.1,-0.1,,,,,,,,,,DET
Carlos Arroyo,2007,14.4,0.501,22.8,2.5,0.094,0.4,-0.8,-0.4,-0.4,12.6,0.403,19.1,0.0,0.016,0.0,-1.3,-0.6,-0.7,ORL
Carlos Arroyo,2008,12.8,0.547,17.0,2.8,0.107,0.3,-0.9,-0.5,-0.4,4.5,0.615,12.5,0.0,-0.011,0.0,-6.6,-5.0,-1.6,ORL
Carlos Arroyo,2010,12.3,0.529,13.9,3.7,0.113,0.2,-1.5,-1.5,0.1,8.7,0.484,12.1,0.2,0.063,0.0,-2.5,-2.9,0.4,MIA
Carlos Arroyo,2011,9.5,0.541,13.9,1.6,0.078,0.0,-2.2,-1.7,-0.5,,,,,,,,,,MIA
Carlos Boozer,2003,17.9,0.577,17.1,5.9,0.139,1.0,0.0,0.6,-0.6,,,,,,,,,,CLE
Carlos Boozer,2004,20.8,0.567,20.0,9.4,0.174,2.7,2.1,2.4,-0.2,,,,,,,,,,CLE
Carlos Boozer,2005,19.2,0.56,24.6,4.1,0.111,1.5,1.4,2.1,-0.7,,,,,,,,,,UTA
Carlos Boozer,2006,21.4,0.585,23.9,3.5,0.162,1.1,2.1,2.4,-0.3,,,,,,,,,,UTA
Carlos Boozer,2007,24.1,0.588,26.5,9.9,0.185,4.3,4.6,4.4,0.2,24.2,0.576,27.3,2.5,0.181,1.2,5.1,4.7,0.4,UTA
Carlos Boozer,2008,21.9,0.581,26.6,10.2,0.173,3.5,2.8,2.5,0.3,13.8,0.462,25.1,0.3,0.029,0.0,-1.9,-0.5,-1.4,UTA
Carlos Boozer,2009,17.2,0.523,24.4,2.6,0.105,0.4,-0.6,0.0,-0.5,20.4,0.589,24.3,0.4,0.114,0.2,2.9,1.6,1.3,UTA
Carlos Boozer,2010,21.3,0.599,24.8,9.9,0.178,3.7,3.4,2.4,1.1,17.6,0.537,23.0,0.6,0.07,0.2,-0.2,1.1,-1.4,UTA
Carlos Boozer,2011,18.8,0.542,26.9,5.8,0.149,1.4,1.0,0.2,0.8,15.2,0.494,21.2,1.3,0.126,0.2,-0.3,-0.4,0.2,CHI
Carlos Boozer,2012,19.7,0.549,23.8,7.6,0.187,2.3,2.7,1.1,1.6,9.8,0.435,27.0,-0.1,-0.032,0.0,-2.2,-2.9,0.7,CHI
Carlos Boozer,2013,17.1,0.51,25.8,5.7,0.108,1.2,-0.1,-0.3,0.2,16.7,0.524,23.8,0.6,0.063,0.2,-0.4,0.3,-0.7,CHI
Carlos Boozer,2014,14.4,0.489,26.3,3.4,0.076,-0.1,-2.1,-2.3,0.2,11.7,0.471,23.0,0.1,0.035,0.0,-3.4,-2.7,-0.7,CHI
Carlos Boozer,2015,16.4,0.517,23.7,2.2,0.062,0.1,-1.7,-0.5,-1.2,,,,,,,,,,LAL
Carlos Delfino,2005,8.6,0.431,16.1,0.5,0.048,-0.1,-2.6,-4.3,1.8,,,,,,,,,,DET
Carlos Delfino,2006,10.6,0.483,19.1,1.0,0.067,-0.2,-2.9,-3.3,0.4,-6.6,0.363,19.6,-0.2,-0.234,-0.1,-13.6,-12.0,-1.7,DET
Carlos Delfino,2007,12.8,0.515,16.5,2.9,0.101,0.7,-0.1,-0.5,0.4,9.6,0.467,16.7,0.2,0.054,0.0,-1.0,-1.8,0.8,DET
Carlos Delfino,2010,12.9,0.526,18.0,4.8,0.101,2.0,1.5,-0.1,1.5,8.8,0.468,18.3,0.0,0.009,0.1,-0.6,-1.0,0.4,MIL
Carlos Delfino,2011,13.1,0.517,17.7,3.5,0.105,1.4,1.5,-0.3,1.7,,,,,,,,,,MIL
Carlos Delfino,2012,11.7,0.515,15.5,2.4,0.075,0.8,-0.1,-1.1,1.1,,,,,,,,,,MIL
Carlos Delfino,2013,13.3,0.549,18.6,3.5,0.101,1.5,1.4,1.1,0.3,11.8,0.539,17.2,0.1,0.053,0.1,2.3,1.7,0.6,HOU
Carlos Rogers,1995,14.3,0.542,20.3,0.9,0.045,-0.3,-3.3,-2.3,-1.1,,,,,,,,,,GSW
Carlos Rogers,1998,8.1,0.5,9.1,0.0,0.057,0.0,-3.1,-2.0,-1.1,,,,,,,,,,POR
Carlos Rogers,1999,23.3,0.665,21.5,0.0,0.259,0.0,5.5,3.1,2.4,,,,,,,,,,POR
Carlos Rogers,2000,15.2,0.549,17.8,2.2,0.096,0.3,-0.9,0.0,-0.9,,,,,,,,,,HOU
Carlos Rogers,2001,18.1,0.674,12.7,2.0,0.18,0.6,2.0,2.4,-0.4,,,,,,,,,,HOU
Carlos Rogers,2002,15.3,0.574,15.2,0.5,0.14,0.1,0.4,0.2,0.2,,,,,,,,,,IND
Carmelo Anthony,2004,17.6,0.509,28.5,6.1,0.098,1.6,0.1,1.6,-1.6,9.8,0.412,27.7,-0.2,-0.06,-0.1,-4.8,-3.3,-1.5,DEN
Carmelo Anthony,2005,16.7,0.526,29.2,4.9,0.09,0.5,-1.2,0.4,-1.6,14.4,0.494,28.5,0.1,0.018,0.1,-0.5,1.4,-1.9,DEN
Carmelo Anthony,2006,22.0,0.563,32.0,9.4,0.153,3.5,2.7,3.5,-0.9,10.7,0.431,31.2,0.0,-0.009,0.0,-1.5,-0.1,-1.4,DEN
Carmelo Anthony,2007,22.1,0.552,33.4,7.3,0.14,2.5,1.9,3.2,-1.3,22.1,0.582,29.5,0.6,0.144,0.4,5.2,5.8,-0.6,DEN
Carmelo Anthony,2008,21.1,0.568,30.2,8.2,0.14,2.5,1.6,2.5,-0.9,14.9,0.447,32.0,-0.1,-0.018,0.0,-2.6,0.8,-3.4,DEN
Carmelo Anthony,2009,19.0,0.532,31.5,5.0,0.105,1.5,0.5,1.5,-1.0,24.3,0.564,31.5,2.6,0.201,1.1,5.0,4.5,0.5,DEN
Carmelo Anthony,2010,22.2,0.548,33.4,7.9,0.145,2.9,2.3,3.5,-1.2,23.3,0.564,32.1,0.7,0.132,0.3,3.1,4.0,-0.9,DEN
Carmelo Anthony,2011,21.2,0.547,32.5,4.7,0.127,1.5,1.4,2.4,-1.0,22.5,0.505,32.7,0.5,0.149,0.3,6.6,6.1,0.5,DEN
Carmelo Anthony,2012,21.1,0.525,31.8,6.2,0.16,2.7,3.6,3.8,-0.2,21.5,0.489,36.2,0.4,0.091,0.3,4.7,4.8,-0.1,NYK
Carmelo Anthony,2013,24.8,0.56,35.6,9.5,0.184,3.9,4.3,6.0,-1.7,20.4,0.497,38.0,1.1,0.114,0.6,2.9,4.1,-1.2,NYK
Carmelo Anthony,2014,24.4,0.561,32.4,10.7,0.172,5.3,5.0,5.8,-0.8,,,,,,,,,,NYK
Carmelo Anthony,2015,21.5,0.531,32.2,2.9,0.097,1.8,3.0,4.9,-1.9,,,,,,,,,,NYK
Carmelo Anthony,2016,20.3,0.53,29.7,6.4,0.121,3.4,3.3,3.8,-0.5,,,,,,,,,,NYK
Carmelo Anthony,2017,17.9,0.535,29.1,4.7,0.089,1.7,0.7,2.3,-1.6,,,,,,,,,,NYK
Carmelo Anthony,2019,10.9,0.513,20.5,0.3,0.048,-0.1,-2.7,-1.3,-1.4,,,,,,,,,,HOU
Carmelo Anthony,2020,12.4,0.525,21.2,1.3,0.033,-0.8,-3.6,-1.8,-1.8,8.4,0.512,20.6,-0.1,-0.021,0.0,-2.9,-2.3,-0.7,POR
Carmelo Anthony,2021,14.6,0.547,23.1,2.6,0.073,0.4,-1.1,0.2,-1.3,12.2,0.571,22.7,0.1,0.023,0.0,-1.8,0.3,-2.1,POR
Carmelo Anthony,2022,14.8,0.579,20.4,3.6,0.097,0.7,-0.5,0.4,-0.8,,,,,,,,,,LAL
Caron Butler,2003,15.1,0.502,22.9,5.1,0.086,1.8,0.5,-0.4,1.0,,,,,,,,,,MIA
Caron Butler,2004,10.7,0.44,18.5,2.1,0.05,-0.4,-2.9,-2.9,0.1,15.4,0.469,18.9,1.4,0.128,0.6,2.4,-0.9,3.3,MIA
Caron Butler,2005,15.8,0.528,20.7,5.3,0.093,0.9,-0.7,0.0,-0.7,,,,,,,,,,LAL
Caron Butler,2010,14.2,0.509,22.3,1.4,0.075,0.2,-1.3,-1.6,0.3,17.8,0.532,29.2,0.4,0.096,0.2,2.2,0.4,1.9,DAL
Caron Butler,2011,14.2,0.523,25.1,1.2,0.067,0.2,-0.9,-0.8,0.0,,,,,,,,,,DAL
Caron Butler,2012,11.7,0.501,20.4,2.3,0.059,0.0,-2.0,-0.8,-1.2,6.2,0.434,20.7,-0.4,-0.067,-0.3,-5.7,-3.6,-2.1,LAC
Caron Butler,2013,12.4,0.535,20.2,3.6,0.091,0.3,-1.3,-0.1,-1.2,10.2,0.539,19.0,0.0,-0.011,0.0,-2.6,-0.6,-2.1,LAC
Caron Butler,2014,12.4,0.494,23.7,0.2,0.014,-0.2,-2.9,-1.2,-1.7,,,,,,,,,,MIL
Caron Butler,2015,9.3,0.544,12.9,2.4,0.07,0.1,-1.7,-1.9,0.1,,,,,,,,,,DET
Caron Butler,2016,11.3,0.49,16.2,0.3,0.071,0.0,-1.8,-2.5,0.6,,,,,,,,,,SAC
Carrick Felix,2014,13.3,0.603,23.2,0.0,0.057,0.0,-3.4,-1.3,-2.2,,,,,,,,,,CLE
Carsen Edwards,2020,6.9,0.444,18.4,0.1,0.014,-0.2,-4.6,-4.4,-0.2,3.8,,0.0,0.0,0.079,0.0,0.1,-2.9,3.0,BOS
Carsen Edwards,2021,10.2,0.527,19.3,0.3,0.051,-0.2,-4.5,-3.2,-1.3,34.9,0.833,25.4,0.0,0.186,0.0,13.2,12.6,0.6,BOS
Carsen Edwards,2022,5.5,0.378,19.2,-0.1,-0.075,-0.1,-9.3,-6.0,-3.4,,,,,,,,,,DET
Cartier Martin,2010,7.3,0.463,17.1,-0.1,-0.01,-0.2,-5.3,-3.7,-1.5,,,,,,,,,,GSW
Cartier Martin,2014,10.9,0.555,17.5,1.1,0.064,0.1,-1.4,-1.0,-0.4,15.0,0.667,12.4,0.0,0.146,0.0,4.1,-1.2,5.4,ATL
Cartier Martin,2015,1.6,0.34,13.0,-0.2,-0.053,-0.3,-7.2,-6.6,-0.6,,,,,,,,,,DET
Casey Jacobsen,2003,9.2,0.493,16.7,1.2,0.051,-0.1,-2.3,-1.9,-0.3,2.9,0.276,13.6,0.0,-0.024,0.0,-2.4,-4.2,1.8,PHO
Casey Jacobsen,2004,9.6,0.57,11.8,2.6,0.068,0.1,-1.8,-1.2,-0.6,,,,,,,,,,PHO
Casey Jacobsen,2005,8.4,0.575,12.0,1.1,0.067,0.0,-1.9,-1.3,-0.5,,,,,,,,,,PHO
Casey Shaw,1999,-14.9,0.125,32.4,-0.1,-0.498,-0.1,-29.8,-18.5,-11.3,,,,,,,,,,PHI
Casper Ware,2014,13.0,0.538,18.1,0.2,0.071,0.0,-2.4,-2.6,0.2,,,,,,,,,,PHI
Cassius Stanley,2021,5.5,0.383,22.0,-0.1,-0.05,-0.2,-11.2,-7.2,-4.0,,,,,,,,,,IND
Cassius Stanley,2022,8.0,0.516,15.6,0.1,0.021,-0.2,-5.8,-4.9,-1.0,,,,,,,,,,DET
Cat Barber,2022,-11.2,0.0,22.7,-0.1,-0.45,-0.1,-23.5,-15.8,-7.6,,,,,,,,,,ATL
Cedi Osman,2018,11.0,0.577,15.7,0.9,0.064,-0.1,-2.9,-2.1,-0.7,5.6,0.354,14.7,0.0,-0.02,0.0,-4.6,-3.6,-1.1,CLE
Cedi Osman,2019,11.5,0.536,18.6,1.5,0.029,-0.8,-3.2,-1.4,-1.8,,,,,,,,,,CLE
Cedi Osman,2020,10.7,0.552,16.6,1.6,0.04,-0.3,-2.6,-1.7,-0.9,,,,,,,,,,CLE
Cedi Osman,2021,10.3,0.488,20.4,0.5,0.014,-0.5,-3.2,-2.3,-0.9,,,,,,,,,,CLE
Cedi Osman,2022,13.3,0.563,21.1,2.9,0.094,0.8,0.2,-0.3,0.5,,,,,,,,,,CLE
Cedi Osman,2023,12.0,0.579,18.2,3.3,0.103,0.5,-0.7,-0.8,0.2,6.7,0.518,17.1,0.1,0.038,0.0,-2.8,-4.1,1.4,CLE
Cedric Bozeman,2007,-0.1,0.312,11.7,-0.3,-0.077,-0.3,-7.3,-7.6,0.3,,,,,,,,,,ATL
Cedric Ceballos,1995,19.9,0.57,26.5,5.2,0.123,1.5,0.9,2.8,-1.9,12.8,0.497,22.5,0.4,0.056,0.2,0.4,0.7,-0.3,LAL
Cedric Ceballos,1996,22.1,0.599,26.5,9.8,0.18,3.1,2.6,3.9,-1.3,18.5,0.565,23.4,0.4,0.147,0.2,4.0,3.6,0.4,LAL
Cedric Ceballos,1997,17.7,0.528,26.6,2.2,0.092,0.0,-1.9,0.4,-2.3,9.1,0.452,18.4,-0.1,-0.048,-0.1,-4.1,-2.7,-1.4,PHO
Cedric Ceballos,1998,19.2,0.564,24.2,2.1,0.163,0.7,2.5,2.3,0.2,,,,,,,,,,PHO
Cedric Ceballos,1999,15.4,0.504,24.7,0.4,0.055,0.0,-1.4,0.0,-1.5,,,,,,,,,,DAL
Cedric Ceballos,2000,18.1,0.516,26.4,4.0,0.094,0.5,-1.0,1.2,-2.2,,,,,,,,,,DAL
Cedric Ceballos,2001,16.4,0.539,24.1,1.1,0.129,0.2,-0.5,0.1,-0.6,7.0,0.317,28.6,-0.1,-0.167,0.0,-9.1,-4.2,-4.9,MIA
Cedric Henderson,1998,10.7,0.514,17.8,3.8,0.072,0.3,-1.6,-2.7,1.1,4.8,0.445,15.0,-0.2,-0.058,0.0,-3.0,-3.7,0.7,CLE
Cedric Henderson,1999,9.9,0.46,19.0,0.5,0.015,-0.2,-2.5,-2.6,0.2,,,,,,,,,,CLE
Cedric Henderson,2000,7.3,0.441,17.3,-0.2,-0.01,-0.8,-4.9,-4.5,-0.4,,,,,,,,,,CLE
Cedric Henderson,2001,6.2,0.416,16.2,-0.7,-0.037,-0.7,-4.8,-4.5,-0.3,,,,,,,,,,CLE
Cedric Henderson,2002,14.4,0.528,25.3,0.0,0.003,0.1,1.7,-0.1,1.8,,,,,,,,,,GSW
Cedric Jackson,2010,-6.6,0.133,22.2,-0.1,-0.336,0.0,-14.9,-10.4,-4.5,,,,,,,,,,CLE
Cedric Lewis,1996,62.7,0.667,33.5,0.1,0.613,0.0,25.6,23.7,1.9,,,,,,,,,,WAS
Cedric Simmons,2008,2.4,0.21,9.0,-0.1,-0.07,-0.1,-6.7,-7.5,0.8,,,,,,,,,,CLE
Cedric Simmons,2009,18.0,0.515,19.8,0.2,0.139,0.0,1.0,1.3,-0.3,,,,,,,,,,CHI
Cezary Trybański,2004,-14.8,0.0,18.1,-0.1,-0.48,0.0,-25.7,-22.8,-2.9,,,,,,,,,,PHO
Chance Comanche,2023,12.2,0.518,14.0,0.0,0.043,0.0,-7.5,-2.6,-4.9,,,,,,,,,,POR
Chandler Hutchison,2019,8.8,0.507,12.2,0.6,0.03,-0.4,-3.9,-3.4,-0.5,,,,,,,,,,CHI
Chandler Hutchison,2020,12.4,0.521,19.1,0.7,0.06,-0.1,-2.6,-2.7,0.1,,,,,,,,,,CHI
Chandler Hutchison,2021,0.4,0.344,16.2,-0.1,-0.103,-0.1,-10.0,-9.3,-0.7,,,,,,,,,,CHI
Chandler Hutchison,2022,1.0,0.694,13.5,0.0,-0.086,0.0,-8.5,-8.0,-0.5,,,,,,,,,,PHO
Chandler Parsons,2012,13.3,0.513,16.7,3.4,0.09,1.3,0.8,0.1,0.7,,,,,,,,,,HOU
Chandler Parsons,2013,15.3,0.584,18.3,7.0,0.121,2.8,2.0,2.0,0.0,13.5,0.55,21.7,0.2,0.035,0.1,0.5,1.5,-1.0,HOU
Chandler Parsons,2014,15.9,0.565,19.3,7.6,0.131,2.6,1.7,1.5,0.2,14.8,0.52,19.9,0.5,0.104,0.2,1.4,1.7,-0.2,HOU
Chandler Parsons,2015,16.3,0.567,20.6,5.5,0.121,2.0,1.6,2.0,-0.4,2.9,0.333,17.7,-0.1,-0.118,0.0,-5.7,-3.4,-2.3,DAL
Chandler Parsons,2016,16.2,0.589,20.5,4.3,0.114,1.8,2.0,1.8,0.2,,,,,,,,,,DAL
Chandler Parsons,2020,5.6,0.389,16.1,-0.1,-0.065,-0.1,-6.0,-4.4,-1.6,,,,,,,,,,ATL
Channing Frye,2006,18.1,0.541,24.2,3.5,0.108,0.5,-0.7,0.7,-1.4,,,,,,,,,,NYK
Channing Frye,2007,10.5,0.464,20.0,0.9,0.024,-0.9,-4.0,-3.4,-0.6,,,,,,,,,,NYK
Channing Frye,2008,14.8,0.529,19.6,3.2,0.114,0.1,-1.8,-1.9,0.1,,,,,,,,,,POR
Channing Frye,2009,10.0,0.465,19.7,0.8,0.054,-0.4,-4.2,-3.9,-0.3,5.4,0.392,21.6,0.0,-0.052,-0.1,-8.4,-4.6,-3.8,POR
Channing Frye,2010,15.0,0.598,16.7,6.4,0.141,2.6,2.7,1.8,0.9,11.0,0.524,14.0,0.8,0.087,0.3,0.9,0.4,0.5,PHO
Channing Frye,2011,12.8,0.557,16.9,4.7,0.09,1.1,-0.3,-0.3,0.0,,,,,,,,,,PHO
Channing Frye,2012,14.9,0.519,19.3,3.7,0.106,1.2,0.9,0.2,0.7,,,,,,,,,,PHO
Channing Frye,2014,13.2,0.555,17.3,5.3,0.109,1.6,0.7,0.4,0.3,,,,,,,,,,PHO
Channing Frye,2015,9.5,0.546,14.1,2.1,0.053,0.2,-1.5,-1.5,-0.1,,,,,,,,,,ORL
Channing Frye,2016,11.8,0.586,13.2,1.5,0.097,0.5,0.7,-0.2,0.9,20.5,0.791,15.0,1.2,0.247,0.5,6.3,4.1,2.2,ORL
Channing Frye,2017,15.6,0.612,19.3,3.7,0.125,1.1,1.0,1.4,-0.4,21.3,0.698,18.8,0.7,0.23,0.4,7.3,6.3,1.0,CLE
Channing Frye,2018,13.9,0.604,15.6,1.2,0.104,0.3,-0.3,-0.4,0.1,,,,,,,,,,CLE
Channing Frye,2019,8.9,0.524,17.5,0.1,0.016,-0.1,-3.5,-1.7,-1.8,,,,,,,,,,CLE
Charles Barkley,1995,25.2,0.572,27.5,10.6,0.214,5.0,6.3,5.6,0.7,26.6,0.58,28.3,1.7,0.206,0.8,6.2,6.1,0.1,PHO
Charles Barkley,1996,24.8,0.585,27.5,10.5,0.191,5.1,5.7,5.0,0.6,27.5,0.562,26.1,0.7,0.197,0.4,8.0,7.4,0.6,PHO
Charles Barkley,1997,23.0,0.581,23.2,9.4,0.224,3.9,5.7,4.5,1.2,20.5,0.557,22.9,2.1,0.164,0.8,3.3,3.1,0.2,HOU
Charles Barkley,1998,21.6,0.564,21.6,8.6,0.183,2.7,2.8,3.2,-0.4,16.2,0.558,20.8,0.2,0.12,0.1,1.0,-0.2,1.2,HOU
Charles Barkley,1999,23.1,0.546,22.2,6.8,0.215,2.5,4.5,4.3,0.3,29.0,0.579,25.6,0.8,0.238,0.4,7.9,6.3,1.5,HOU
Charles Barkley,2000,19.8,0.534,22.3,1.9,0.148,0.6,2.0,2.6,-0.6,,,,,,,,,,HOU
Charles Bassey,2022,21.5,0.66,16.1,0.8,0.22,0.2,1.7,-0.4,2.1,14.6,0.41,9.6,0.0,0.13,0.0,1.8,0.2,1.6,PHI
Charles Bassey,2023,18.8,0.658,15.6,1.3,0.122,0.3,0.6,-0.7,1.3,,,,,,,,,,SAS
Charles Claxton,1996,0.2,0.347,23.9,0.0,-0.179,0.0,-18.9,-16.3,-2.6,,,,,,,,,,BOS
Charles Jenkins,2012,12.4,0.482,19.0,0.5,0.028,-0.5,-4.2,-2.7,-1.5,,,,,,,,,,GSW
Charles Jenkins,2013,6.9,0.445,16.9,-0.1,-0.018,-0.3,-5.4,-4.8,-0.7,,,,,,,,,,GSW
Charles Jones,1995,2.6,0.387,4.8,0.0,0.05,0.0,-6.9,-7.2,0.3,2.4,0.383,4.6,0.1,0.022,-0.2,-6.2,-7.1,1.0,HOU
Charles Jones,1996,8.1,0.324,4.2,0.6,0.09,0.0,-2.2,-3.8,1.6,-2.6,0.0,5.7,0.0,-0.138,0.0,-10.7,-7.4,-3.3,HOU
Charles Jones,1997,6.3,0.4,2.4,0.2,0.09,0.0,-1.1,-2.7,1.6,17.8,,0.0,0.0,0.205,0.0,26.1,12.0,14.1,HOU
Charles Jones,1998,7.8,0.689,5.3,0.2,0.078,0.0,-3.4,-3.2,-0.1,12.7,1.136,3.8,0.1,0.298,0.0,0.6,-3.2,3.8,HOU
Charles Jones,1999,6.5,0.407,16.0,-0.4,-0.037,-0.4,-5.3,-4.4,-0.9,,,,,,,,,,CHI
Charles Jones,2000,11.4,0.445,16.0,0.4,0.025,-0.1,-2.8,-1.3,-1.5,,,,,,,,,,LAC
Charles O'Bannon,1998,10.5,0.423,16.8,0.2,0.048,0.0,-2.1,-2.2,0.1,,,,,,,,,,DET
Charles O'Bannon,1999,13.3,0.47,19.4,0.3,0.1,0.0,-2.0,-0.6,-1.4,7.7,0.667,34.4,-0.1,-0.294,0.0,-8.3,-4.3,-3.9,DET
Charles Oakley,1995,14.3,0.551,16.4,4.5,0.138,1.0,0.7,-0.7,1.3,16.0,0.548,18.2,1.5,0.172,0.6,3.4,1.1,2.4,NYK
Charles Oakley,1996,15.1,0.559,16.9,5.6,0.15,1.3,0.9,-0.1,1.0,12.3,0.559,19.5,0.5,0.076,0.1,-0.7,-1.3,0.6,NYK
Charles Oakley,1997,14.2,0.545,15.4,8.9,0.149,2.7,1.7,-0.4,2.1,13.0,0.496,15.8,0.8,0.114,0.3,1.2,-1.4,2.6,NYK
Charles Oakley,1998,13.1,0.475,15.0,7.0,0.122,2.1,1.0,-1.3,2.3,11.1,0.494,13.4,0.7,0.095,0.2,0.0,-1.6,1.6,NYK
Charles Oakley,2002,6.6,0.392,12.1,-0.5,-0.016,-1.1,-5.1,-5.6,0.5,,,,,,,,,,CHI
Charles Oakley,2004,8.1,0.521,18.4,0.1,0.147,0.0,-4.7,-6.3,1.6,,,,,,,,,,HOU
Charles Shackleford,1995,16.6,0.637,15.6,0.8,0.16,0.1,-0.4,-1.2,0.8,,,,,,,,,,MIN
Charles Shackleford,1999,12.1,0.521,16.8,0.7,0.086,-0.1,-3.4,-3.2,-0.2,,,,,,,,,,CHO
Charles Smith,1995,13.9,0.544,22.1,4.8,0.107,0.6,-1.0,-1.6,0.6,13.4,0.55,21.5,0.5,0.085,0.1,-0.3,-2.0,1.8,NYK
Charles Smith,1996,9.1,0.446,21.0,0.2,0.013,-0.6,-4.7,-5.2,0.6,14.3,0.495,17.4,0.2,0.062,0.1,-0.2,-3.3,3.1,NYK
Charles Smith,1997,10.6,0.461,16.6,0.0,0.003,-0.1,-3.6,-5.0,1.4,,,,,,,,,,SAS
Charles Smith,1998,11.1,0.491,22.5,-0.1,-0.024,-0.1,-3.7,-1.5,-2.2,,,,,,,,,,LAC
Charles Smith,1999,7.1,0.404,17.8,-0.5,-0.069,-0.2,-4.1,-3.9,-0.1,,,,,,,,,,LAC
Charles Smith,2002,13.2,0.483,21.0,2.0,0.085,0.8,0.9,-1.0,1.9,13.3,0.644,17.6,0.0,0.065,0.0,-0.4,-6.1,5.6,SAS
Charles Smith,2003,5.9,0.434,24.0,0.0,0.007,0.0,-6.5,-8.0,1.4,,,,,,,,,,POR
Charles Smith,2006,12.4,0.537,17.9,0.3,0.066,0.0,-1.4,-0.4,-1.0,,,,,,,,,,POR
Charlie Bell,2002,-2.2,0.337,18.0,-0.2,-0.185,-0.1,-13.2,-8.4,-4.8,,,,,,,,,,PHO
Charlie Bell,2006,14.7,0.55,17.5,3.3,0.123,0.9,1.0,0.1,0.8,10.9,0.499,21.6,0.0,-0.017,0.0,-1.4,-0.1,-1.3,MIL
Charlie Bell,2007,13.1,0.53,18.3,4.0,0.068,0.5,-1.3,-0.2,-1.1,,,,,,,,,,MIL
Charlie Bell,2008,10.9,0.49,16.6,1.3,0.038,-0.2,-2.5,-1.4,-1.1,,,,,,,,,,MIL
Charlie Bell,2009,9.8,0.525,16.0,2.2,0.059,0.2,-1.7,-1.4,-0.3,,,,,,,,,,MIL
Charlie Bell,2010,7.9,0.486,14.8,2.0,0.06,-0.2,-2.4,-2.9,0.5,-15.4,0.0,11.9,0.0,-0.287,0.0,-23.8,-18.9,-4.9,MIL
Charlie Bell,2011,4.7,0.357,13.1,-0.1,-0.04,-0.1,-5.0,-4.2,-0.8,,,,,,,,,,GSW
Charlie Brown Jr.,2020,11.0,0.472,25.1,0.0,-0.028,0.0,-2.5,-1.2,-1.4,,,,,,,,,,ATL
Charlie Brown Jr.,2022,6.6,0.365,12.0,0.1,0.018,-0.1,-5.0,-5.0,-0.1,,,,,,,,,,PHI
Charlie Villanueva,2007,15.8,0.547,21.8,1.7,0.085,0.2,-1.4,0.2,-1.6,,,,,,,,,,MIL
Charlie Villanueva,2008,14.9,0.502,24.4,1.7,0.045,-0.3,-2.8,-0.4,-2.4,,,,,,,,,,MIL
Charlie Villanueva,2009,18.6,0.529,28.5,4.9,0.112,1.6,1.1,1.6,-0.6,,,,,,,,,,MIL
Charlie Villanueva,2010,16.0,0.526,23.9,3.5,0.092,0.9,0.0,0.8,-0.8,,,,,,,,,,DET
Charlie Villanueva,2011,15.9,0.553,23.1,3.1,0.091,0.7,-0.4,1.0,-1.4,,,,,,,,,,DET
Charlie Villanueva,2012,16.2,0.484,26.0,0.4,0.096,0.1,-0.7,-0.1,-0.5,,,,,,,,,,DET
Charlie Villanueva,2013,14.0,0.481,21.9,1.6,0.069,0.6,0.0,0.5,-0.5,,,,,,,,,,DET
Charlie Villanueva,2014,12.7,0.469,25.0,0.1,0.034,0.0,-2.4,-0.6,-1.9,,,,,,,,,,DET
Charlie Villanueva,2015,17.4,0.534,26.7,1.4,0.096,0.6,1.5,2.7,-1.2,24.6,0.6,23.8,0.2,0.259,0.1,8.2,8.1,0.1,DAL
Charlie Villanueva,2016,11.9,0.473,25.3,0.2,0.016,-0.1,-2.7,-1.9,-0.8,0.5,0.349,32.1,-0.1,-0.287,0.0,-8.0,-4.5,-3.5,DAL
Charlie Ward,1995,-2.1,0.342,32.7,-0.2,-0.258,-0.1,-15.0,-12.9,-2.1,,,,,,,,,,NYK
Charlie Ward,1996,12.0,0.505,19.0,1.0,0.064,0.4,0.0,-2.2,2.1,19.8,0.532,19.4,0.3,0.175,0.3,9.8,2.2,7.6,NYK
Charlie Ward,1997,11.1,0.522,14.1,3.6,0.099,1.1,0.4,-1.8,2.2,8.7,0.348,11.7,0.1,0.038,0.1,-0.2,-3.6,3.4,NYK
Charlie Ward,1998,15.6,0.567,15.0,7.1,0.148,3.6,4.1,0.7,3.4,16.6,0.532,14.6,0.8,0.144,0.5,6.2,1.9,4.4,NYK
Charlie Ward,1999,13.2,0.513,15.4,3.1,0.094,1.5,1.7,-0.8,2.6,13.1,0.477,12.0,1.2,0.115,0.7,3.8,-0.3,4.0,NYK
