Player,season_start,REG_PER,REG_TS%,REG_USG%,REG_WS,REG_WS/48,REG_VORP,REG_BPM,REG_OBPM,REG_DBPM,POF_PER,POF_TS%,POF_USG%,POF_WS,POF_WS/48,POF_VORP,POF_BPM,POF_OBPM,POF_DBPM,team
Aaron Gray,2009,11.5,0.508,14.5,1.3,0.086,-0.2,-3.4,-3.2,-0.1,-13.8,0.0,15.2,-0.1,-0.403,0.0,-17.3,-12.5,-4.8,CHI
Aaron Gray,2010,7.0,0.374,22.5,0.0,-0.013,-0.1,-8.7,-5.5,-3.2,,,,,,,,,,CHI
Aaron Gray,2014,7.9,0.455,12.2,0.1,0.018,-0.2,-4.5,-4.6,0.1,,,,,,,,,,SAC
Aaron Harrison,2018,5.1,0.392,15.5,-0.1,-0.014,-0.3,-7.5,-6.8,-0.6,,,,,,,,,,DAL
Aaron Henry,2022,-7.4,0.2,18.5,-0.1,-0.306,-0.1,-16.5,-14.0,-2.4,,,,,,,,,,PHI
Aaron Holiday,2019,11.9,0.518,21.9,0.9,0.065,0.1,-1.6,-1.7,0.1,-1.3,0.5,21.2,0.0,-0.103,0.0,-10.6,-7.7,-2.9,IND
Aaron Holiday,2020,11.6,0.521,18.7,2.1,0.063,0.2,-1.6,-1.6,0.0,16.0,0.668,17.4,0.2,0.108,0.1,1.6,0.2,1.4,IND
Aaron Holiday,2021,9.2,0.503,19.5,0.2,0.009,-0.7,-4.2,-3.3,-0.9,,,,,,,,,,IND
Aaron Holiday,2022,14.9,0.538,20.0,0.9,0.125,0.1,-0.8,-1.0,0.3,63.8,0.727,33.2,0.3,0.819,0.3,49.5,35.3,14.2,PHO
Aaron Holiday,2023,9.4,0.528,13.4,0.9,0.053,0.0,-2.0,-2.9,0.9,-4.9,,10.3,0.0,-0.273,0.0,-11.6,-8.4,-3.3,ATL
Aaron Jackson,2018,2.4,0.405,13.7,0.0,-0.017,-0.1,-8.9,-6.6,-2.3,8.7,0.512,18.1,0.0,0.002,0.0,-5.7,-4.8,-0.9,HOU
Aaron McKie,1995,13.3,0.5,17.0,2.0,0.115,0.5,0.3,-1.4,1.7,19.4,0.607,18.8,0.1,0.082,0.0,3.1,0.7,2.4,POR
Aaron McKie,1996,13.4,0.534,18.3,5.3,0.113,1.4,0.4,-1.3,1.7,8.1,0.456,14.8,-0.1,-0.023,0.0,-1.3,-3.7,2.4,POR
Aaron McKie,1997,14.8,0.558,16.2,2.4,0.137,0.7,1.5,-0.2,1.7,8.5,0.375,12.2,0.1,0.031,0.1,1.1,-2.7,3.8,DET
Aaron McKie,1998,8.1,0.383,11.5,0.7,0.024,0.0,-1.9,-4.0,2.0,,,,,,,,,,PHI
Aaron McKie,1999,11.4,0.454,15.2,1.6,0.082,0.4,-0.4,-2.9,2.5,9.9,0.383,12.7,0.2,0.087,0.0,-1.7,-3.8,2.2,PHI
Aaron McKie,2000,13.2,0.497,17.3,4.3,0.105,1.5,1.2,-1.1,2.2,17.5,0.592,18.4,0.9,0.137,0.5,3.7,2.5,1.2,PHI
Aaron McKie,2001,15.1,0.549,18.9,5.9,0.118,2.1,1.4,0.1,1.3,15.4,0.503,19.6,1.9,0.1,0.9,1.9,0.9,1.0,PHI
Aaron McKie,2002,15.8,0.54,19.8,3.9,0.128,1.7,2.7,1.3,1.4,13.7,0.526,19.5,0.1,0.019,0.1,-0.1,-0.8,0.7,PHI
Aaron McKie,2003,13.7,0.497,15.8,5.1,0.104,1.9,1.1,-0.6,1.6,12.7,0.603,14.0,0.7,0.111,0.2,0.7,-0.6,1.3,PHI
Aaron McKie,2004,13.9,0.55,16.2,4.8,0.108,1.8,1.3,0.2,1.1,,,,,,,,,,PHI
Aaron McKie,2005,8.4,0.51,7.1,2.0,0.085,0.4,-0.6,-3.0,2.4,6.6,0.5,4.5,0.1,0.061,0.0,-1.1,-4.0,2.9,PHI
Aaron McKie,2006,6.1,0.272,5.6,0.1,0.041,0.0,-2.4,-4.5,2.1,0.0,,0.0,0.0,-0.02,0.0,-3.8,-1.8,-2.0,LAL
Aaron McKie,2007,7.5,0.647,8.6,0.1,0.039,-0.1,-4.2,-4.0,-0.1,,,,,,,,,,LAL
Aaron Miles,2006,6.0,0.405,11.6,0.0,-0.015,-0.1,-5.0,-5.7,0.8,,,,,,,,,,GSW
Aaron Nesmith,2021,9.4,0.573,13.7,1.1,0.076,-0.2,-3.2,-2.8,-0.4,3.5,0.424,11.8,-0.1,-0.082,-0.1,-7.0,-4.9,-2.1,BOS
Aaron Nesmith,2022,7.3,0.507,17.2,0.4,0.038,-0.3,-4.3,-4.9,0.7,8.9,0.32,17.1,0.0,0.026,0.0,-1.7,-4.5,2.7,BOS
Aaron Nesmith,2023,10.5,0.566,16.8,2.0,0.052,-0.4,-3.0,-2.3,-0.7,,,,,,,,,,IND
Aaron Swinson,1995,11.7,0.594,21.4,0.0,0.039,-0.1,-6.8,-4.3,-2.5,,,,,,,,,,PHO
Aaron Williams,1995,7.0,0.41,22.3,-0.1,-0.067,-0.1,-9.0,-8.7,-0.3,,,,,,,,,,MIL
Aaron Williams,1997,19.1,0.6,40.2,-0.1,-0.281,0.0,-5.5,-7.9,2.4,,,,,,,,,,DEN
Aaron Williams,1998,13.4,0.575,18.8,1.7,0.105,-0.2,-3.3,-3.1,-0.2,0.3,0.258,33.1,-0.1,-0.363,0.0,-10.4,-7.2,-3.2,OKC
Aaron Williams,1999,15.2,0.508,18.4,1.1,0.11,0.0,-1.6,-1.7,0.1,,,,,,,,,,OKC
Aaron Williams,2001,15.1,0.533,17.8,5.2,0.107,0.2,-1.6,-1.3,-0.3,,,,,,,,,,BRK
Aaron Williams,2002,15.2,0.568,17.4,5.0,0.154,0.6,-0.4,-1.4,0.9,10.8,0.559,14.9,0.8,0.097,0.0,-2.2,-3.3,1.1,BRK
Aaron Williams,2003,11.9,0.504,16.4,3.7,0.11,0.2,-1.6,-2.2,0.6,15.7,0.514,17.7,1.2,0.165,0.3,2.1,-0.2,2.3,BRK
Aaron Williams,2004,13.2,0.549,17.5,3.4,0.122,0.1,-1.6,-2.4,0.8,4.4,0.561,16.6,0.1,0.019,-0.2,-7.7,-8.3,0.6,BRK
Aaron Williams,2005,8.9,0.589,13.3,0.2,0.073,0.0,-3.2,-5.1,1.8,,,,,,,,,,BRK
Aaron Williams,2007,9.4,0.606,10.0,0.7,0.089,-0.1,-2.7,-3.3,0.6,,,,,,,,,,LAC
Aaron Williams,2008,10.3,0.54,11.8,0.4,0.072,0.0,-2.5,-4.5,2.0,,,,,,,,,,LAC
