scoring_role,n_player_seasons,n_players,regular_ppg,playoff_ppg,regular_minutes,playoff_minutes,minutes_effect,scoring_rate_effect,net_change,net_ci95_low,net_ci95_high
Role player,1399,714,5.109167948684495,3.969335239456755,16.860505974186218,14.022730521801286,-0.8983390248486272,-0.24149368437911262,-1.1398327092277398,-1.2644347786439682,-1.0112028183930801
Contributor,1087,531,10.717751288057539,9.618307267709291,27.143657516764343,26.863937442502298,-0.14743325295132736,-0.9520107673969183,-1.0994440203482456,-1.3030343436675758,-0.8936531108303866
Starter,554,233,16.718014130701796,16.095667870036102,33.39556398478908,35.08935018050541,0.8686006838917569,-1.4909469445574508,-0.6223462606656939,-0.9845736530393925,-0.28122777434293966
Star,315,100,24.34473518380065,24.396190476190473,36.35638142416705,39.271746031746034,1.9721738788752938,-1.9207185864854701,0.051455292389823826,-0.41888052715396806,0.48412305170172143
