order,model,n_controls,effect_per_10pp,ci95_low,ci95_high,p_value,n_team_seasons,n_teams
0,Continuity only,0,1.3888396043324733,0.874164262624868,1.9035149460400786,6.00237624612765e-06,150,30
1,Add prior team strength,1,1.0986760875493757,0.6277464979199321,1.5696056771788194,4.7857131238942815e-05,150,30
2,Add prior roster talent,4,0.37358323725242343,-0.23402026928749092,0.9811867437923377,0.21860410127233895,150,30
3,Add roster composition,9,0.2036657952727378,-0.32097328464660735,0.7283048751920829,0.43366686812586686,150,30
