scoring_role,half_width_points,observed_coverage,n_calibration_games,n_test_games
Role player,5.526636456064521,0.7973625338514071,9015,8493
Contributor,7.61692165595241,0.7940888079562964,6436,7139
Starter,9.32768594966975,0.8167778167778168,2825,2849
Star,10.32406916196259,0.803534730785039,2746,2433
