season,player_id,player_name,position,height_wo_shoes,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint,bench_press
2000,2080,Igor Rakocevic,PG,74.5,,184.0,77.25,100.0,,,,27.5,34.0,10.4,3.1,9.0
2000,12148,Reed Rawlings,SG-SF,78.25,,218.0,81.25,104.0,,,,28.5,33.5,11.1,3.27,13.0
2000,2072,Michael Redd,SG-SF,76.75,,214.0,81.0,102.0,,,,27.0,31.0,12.06,3.34,12.0
2000,12149,Damon Reed,PF-C,80.5,,228.0,81.5,104.5,,,,27.5,31.5,11.21,3.31,4.0
2000,12021,Aubrey Reese,PG,70.75,,189.0,77.5,94.5,,,,31.5,37.5,11.13,3.25,14.0
2000,2121,Terrance Roberson,SF,77.5,,209.0,80.0,103.5,,,,29.0,32.5,11.66,,11.0
2000,12022,Julius Doc Robinson,PG,72.0,,184.0,75.75,95.5,,,,30.0,37.5,12.54,3.41,0.0
2000,12023,Pepe Sanchez,PG,75.0,,194.0,75.5,96.0,,,,26.0,31.0,11.62,3.44,8.0
2000,12024,Matt Santangelo,PG,72.0,,177.0,75.0,94.0,,,,33.5,43.0,10.66,3.06,12.0
2000,2637,Alex Scales,SG-PG,74.25,,184.5,81.0,97.5,,,,38.5,42.5,10.98,3.21,10.0
2000,12025,Karim Shabazz,C,83.5,,224.0,87.0,111.5,,,,24.5,28.0,12.72,3.36,2.0
2000,12026,Nick Sheppard,PF-C,81.5,,273.0,83.0,107.5,,,,23.5,25.5,12.14,3.52,18.0
2000,2065,Mike Smith,SF,78.5,,198.0,80.5,103.0,,,,33.0,21.0,11.32,3.22,12.0
2000,2074,Jabari Smith,PF-C,81.75,,240.5,86.5,109.5,,,,24.5,30.0,12.45,3.43,15.0
2000,12027,Jarrett Stephens,PF,77.25,,258.0,81.25,103.0,,,,27.0,29.0,11.98,3.46,13.0
2000,12028,Bootsy Thornton,SG,75.5,,194.5,78.5,101.5,,,,26.5,31.0,12.08,3.33,7.0
2000,12029,Jaquay Walls,PG,73.25,,165.5,74.5,96.5,,,,28.5,35.5,10.75,3.23,0.0
2000,12030,Jameel Watkins,PF-C,81.5,,244.5,90.0,110.0,,,,28.0,30.5,12.38,3.45,11.0
2001,12033,Adam Allenspach,C,83.5,,259.0,84.5,107.0,12.4,,,28.5,31.0,11.9,3.4,16.0
2001,2240,Gilbert Arenas,SG,74.25,,199.0,81.5,99.5,5.3,,,31.5,36.0,,3.25,12.0
2001,2220,Brandon Armstrong,SG,75.5,,188.0,81.5,99.5,9.3,,,30.0,37.0,10.91,3.2,6.0
2001,2203,Shane Battier,SF-PF,80.25,,229.0,82.5,105.0,9.3,,,29.5,33.0,10.95,3.3,12.0
2001,12034,Cookie Belcher,SG-PG,75.0,,206.0,80.5,99.0,5.3,,,35.0,41.5,11.26,2.91,7.0
2001,2294,Charlie Bell,PG,74.5,,200.0,79.5,97.5,6.7,,,31.5,38.0,10.59,3.12,15.0
2001,2257,Ruben Boumtje-Boumtje,C,83.5,,245.0,88.0,111.0,6.0,,,26.5,31.0,11.84,3.33,6.0
2001,12035,Calvin Bowman,PF,80.75,,214.0,83.5,104.0,8.6,,,28.5,34.5,11.96,3.21,7.0
2001,2214,Michael Bradley,PF,81.5,,227.0,85.5,107.0,9.3,,,27.0,30.0,11.11,3.35,13.0
2001,2249,Jamison Brewer,PG,74.5,,178.0,80.75,102.5,6.7,,,26.0,32.5,9.65,3.15,12.0
2001,2198,Kwame Brown,PF-C,82.0,,243.0,85.0,108.0,8.9,,,30.0,33.0,11.59,3.45,17.0
2001,12031,SirValiant Brown,PG,71.0,,176.0,76.0,92.5,6.7,,,31.0,39.5,11.23,3.0,10.0
2001,2245,Damone Brown,SF,80.25,,202.0,83.75,104.5,6.7,,,32.0,37.0,11.81,3.27,6.0
2001,12032,Ryan Carroll,SF-SG,76.0,,202.0,80.25,99.0,8.0,,,34.5,39.0,11.0,3.1,14.0
2001,2199,Tyson Chandler,SF-PF,83.5,,224.0,87.0,110.0,6.7,,,31.0,33.5,12.13,3.36,2.0
2001,2251,Eric Chenowith,C,85.0,,264.0,88.0,111.0,12.9,,,23.5,27.5,12.5,3.59,6.0
2001,2439,Sam Clancy,PF,78.25,,242.0,86.75,107.0,8.0,,,31.0,34.0,11.47,3.13,15.0
2001,12036,Gyasi Cline-Heard,PF,78.25,,231.0,83.5,103.0,8.0,,,31.5,34.5,11.4,3.23,11.0
2001,2215,Jason Collins,PF-C,82.25,,251.0,88.5,110.0,12.9,,,25.5,28.5,12.1,3.54,8.0
2001,2260,Jarron Collins,C-PF,81.25,,252.0,87.0,104.0,15.2,,,23.0,29.0,11.65,3.6,10.0
2001,2241,Omar Cook,PG,71.5,,189.0,77.5,92.0,5.5,,,31.0,35.5,10.77,3.2,9.0
2001,2201,Eddy Curry,C,82.5,,301.0,90.5,111.0,16.5,,,28.0,31.0,12.25,3.53,16.0
2001,12037,Tate Decker,SF,81.25,,218.0,83.75,107.0,13.6,,,25.5,28.5,12.19,3.47,13.0
2001,2205,DeSagana Diop,C,82.0,,314.0,90.5,113.0,21.0,,,21.5,25.5,12.37,3.56,15.0
2001,12038,Robb Dryden,C,85.0,,241.0,86.5,110.2,8.0,,,27.0,30.0,12.47,3.46,8.0
2001,12039,Anthony Evans,PF,78.0,,267.0,83.5,101.5,12.9,,,31.5,33.0,12.56,3.31,18.0
2001,2230,Maurice Evans,SG,76.25,,221.0,80.0,101.0,4.0,,,34.5,37.5,10.08,3.12,22.0
2001,12150,Benjamin Eze,C-PF,80.75,,232.0,90.0,109.0,3.9,,,29.0,32.0,13.05,3.36,14.0
2001,2386,Kimani Ffriend,C-PF,81.5,,228.0,82.75,108.5,11.7,,,32.0,33.0,11.46,3.09,9.0
2001,2228,Alton Ford,PF,80.25,,271.0,82.5,102.5,8.0,,,34.5,36.5,11.7,3.16,21.0
2001,2218,Joseph Forte,SG,75.5,,193.0,78.5,100.5,,,,26.5,33.0,11.51,3.19,10.0
2001,-1,Jason Gardner,PG,69.75,,188.0,73.25,92.5,8.0,,,34.5,40.0,10.88,2.92,9.0
2001,12151,Jerry Green,PG-SG,73.5,,179.0,78.25,99.0,5.5,,,28.5,35.0,11.7,3.17,13.0
2001,12152,Kenny Gregory,SF,75.5,,200.0,83.25,101.0,6.7,,,39.5,45.5,11.33,3.1,10.0
2001,2204,Eddie Griffin,PF-SF,81.25,,222.0,87.0,110.0,4.0,,,26.5,33.0,11.77,3.21,3.0
2001,2239,Trenton Hassell,SG-SF,76.25,,205.0,80.0,99.5,5.3,,,35.5,37.5,11.57,3.29,12.0
2001,2213,Kirk Haston,PF-SF,80.0,,242.0,84.25,106.0,10.5,,,27.0,31.5,12.25,3.35,11.0
2001,12153,Charles Hathaway,C,80.0,,274.0,86.0,107.5,,,,,,,,
2001,2217,Brendan Haywood,C,83.75,,266.0,90.5,113.5,12.9,,,27.0,28.5,12.87,3.5,17.0
2001,12154,Michael Hicks,SG,76.0,,197.0,81.25,100.5,7.3,,,33.0,40.5,11.38,3.19,13.0
2001,2212,Steven Hunter,C-PF,82.25,,224.0,88.0,108.0,5.3,,,30.5,38.5,11.99,3.15,11.0
2001,12155,Andre Hutson,PF,80.25,,244.0,83.75,105.5,11.7,,,29.0,32.5,11.25,3.3,17.0
2001,12156,Nate James,SF,76.75,,196.0,82.75,103.0,6.0,,,26.0,31.0,11.42,3.31,23.0
2001,2210,Richard Jefferson,SF,79.25,,223.0,84.0,103.0,6.7,,,33.0,38.5,11.19,3.15,14.0
2001,2798,Horace Jenkins,PG,71.75,,171.0,77.25,97.0,6.0,,,34.5,41.0,10.97,3.1,2.0
2001,12157,Darrell Johns,C,83.25,,278.0,89.0,111.5,19.1,,,23.5,30.0,12.41,3.59,18.0
2001,2256,Ken Johnson,C,82.75,,227.0,88.0,109.5,9.9,,,32.5,35.0,11.27,3.12,13.0
2001,2207,Joe Johnson,SF-SG,78.75,,226.0,81.0,105.0,6.7,,,32.5,36.5,12.05,3.4,12.0
2001,12158,Darren Kelly,SG-PG,74.0,,178.0,78.75,100.0,6.7,,,30.5,34.5,11.38,3.21,1.0
2001,2253,Sean Lampley,SF,77.5,,213.0,81.25,101.0,8.0,,,36.0,40.0,11.06,3.12,12.0
2001,12159,Zach Marbury,PG-SG,73.25,,183.0,75.5,96.5,6.7,,,33.0,36.5,11.53,3.1,0.0
2001,12160,Mike Mardesich,C-PF,82.25,,247.0,84.5,108.5,13.6,,,24.0,30.0,11.65,3.45,8.0
2001,12161,DeMarcus Minor,SG,75.25,,207.0,80.25,99.5,6.7,,,29.0,41.0,10.57,3.15,9.0
2001,200081,Jamario Moon,SF,78.5,,185.0,83.5,103.0,5.3,,,33.0,43.0,11.64,3.08,0.0
2001,2211,Troy Murphy,PF,81.75,,230.0,83.0,105.5,11.7,,,28.5,34.5,11.22,3.43,11.0
2001,12162,Troy Ostler,PF-SF,80.75,,200.0,85.5,106.5,8.0,,,26.5,29.5,13.42,3.5,2.0
2001,40046,Lazaros Papadopoulos,C-PF,82.25,,227.0,86.5,110.5,11.7,,,23.0,26.0,12.0,3.7,4.0
2001,12164,Rashad Phillips,PG,69.0,,166.0,73.5,92.0,12.4,,,27.0,32.0,11.93,3.27,5.0
2001,12165,Demetrius Porter,PG,70.75,,178.0,74.75,94.0,12.4,,,26.0,31.0,11.5,3.34,5.0
2001,12166,Martin Rancik,PF-SF,80.75,,230.0,80.0,102.5,8.0,,,32.0,37.0,10.77,3.19,14.0
2001,2202,Jason Richardson,SF-SG,76.75,,213.0,83.5,102.5,5.3,,,32.5,39.5,11.75,3.12,15.0
2001,2369,Norman Richardson,SG,75.5,,180.0,76.5,99.0,6.0,,,30.5,35.5,10.97,3.15,2.0
2001,2219,Jeryl Sasser,PG-SG,77.5,,194.0,82.5,103.5,6.7,,,29.0,34.0,11.47,3.22,1.0
2001,12167,Kenny Satterfield,PG,73.0,,176.0,76.5,98.0,6.7,,,28.5,33.0,12.05,3.2,3.0
2001,2243,Brian Scalabrine,PF-SF,80.75,,241.0,81.75,105.5,13.6,,,27.0,30.5,11.75,3.47,14.0
2001,12168,Lee Scruggs,PF-SF,82.25,,209.0,89.75,110.5,10.5,,,23.5,29.5,13.28,3.55,0.0
2001,2250,Bobby Simmons,SF,78.25,,235.0,84.25,105.0,6.7,,,27.5,34.0,11.69,3.41,12.0
2001,2226,Will Solomon,PG-SG,71.75,,172.0,81.5,99.5,4.0,,,28.5,35.0,11.3,3.22,4.0
2001,12169,Greg Stevenson,SF,75.75,,215.0,84.5,102.0,7.3,,,30.0,35.5,11.29,3.23,15.0
2001,12170,Damone Thornton,PF,78.75,,235.0,85.75,103.7,8.0,,,33.5,37.5,11.17,3.2,19.0
2001,2224,Jamaal Tinsley,PG,72.75,,199.0,79.5,97.5,13.6,,,28.0,37.5,11.96,3.2,1.0
2001,12171,Tory Walker,SF,78.75,,187.0,83.25,104.5,6.7,,,28.0,33.0,11.95,3.25,7.0
2001,12172,Souleymane Wane,C,80.5,,235.0,89.0,109.0,11.2,,,29.0,30.5,12.02,3.46,9.0
2001,2248,Earl Watson,PG,72.0,,184.0,78.75,97.0,4.0,,,32.5,37.5,10.97,3.19,4.0
2001,2206,Rodney White,SF,79.5,,243.0,83.5,104.5,9.3,,,27.5,33.0,12.07,3.47,16.0
2001,2254,Loren Woods,C-PF,84.75,,246.0,89.5,113.0,9.3,,,24.5,28.0,11.83,3.48,10.0
2001,12041,Michael Wright,PF,79.0,,247.0,83.5,106.5,9.3,,,27.5,33.5,11.37,3.21,18.0
2001,12040,Brent Wright,PF-SF,79.75,,236.0,85.5,105.5,12.4,,,23.0,29.0,12.25,3.3,19.0
2002,2403,Nene ,PF,81.25,,253.0,88.5,109.0,,,,30.0,34.0,10.73,3.19,16.0
