iter	MAE
251	4.46593218
252	4.465707566
253	4.465550613
254	4.465365932
255	4.465163064
256	4.464895276
257	4.464661656
258	4.464419837
259	4.464235659
260	4.463998365
261	4.463867692
262	4.463618754
263	4.463391703
264	4.463166869
265	4.462988592
266	4.462835612
267	4.462597209
268	4.462471437
269	4.462252862
270	4.462126382
271	4.461928866
272	4.461723646
273	4.461531506
274	4.461352571
275	4.461215353
276	4.461065674
277	4.460841342
278	4.460693541
279	4.460447922
280	4.460219822
281	4.46011925
282	4.459927849
283	4.459707319
284	4.459515393
285	4.459349568
286	4.459157796
287	4.459009105
288	4.458719427
289	4.458457147
290	4.458301682
291	4.458133784
292	4.457977722
293	4.457793862
294	4.457668447
295	4.457474476
296	4.457241502
297	4.457016248
298	4.456810698
299	4.45662791
300	4.456466861
301	4.456308848
302	4.456173331
303	4.456031184
304	4.455817452
305	4.455639494
306	4.45546594
307	4.455275282
308	4.455134718
309	4.454998161
310	4.454833624
311	4.454713428
312	4.454586272
313	4.454457553
314	4.454265223
315	4.454067049
316	4.453924229
317	4.453801266
318	4.45366039
319	4.453444688
320	4.453291791
321	4.452980592
322	4.4528525
323	4.452656591
324	4.452404085
325	4.452160339
326	4.452007514
327	4.451798662
328	4.451542035
329	4.45139373
330	4.451217862
331	4.450918527
332	4.450837807
333	4.450717089
334	4.450404116
335	4.45017512
336	4.450042829
337	4.449751417
338	4.449595433
339	4.449455586
340	4.449304252
341	4.449190516
342	4.448961507
343	4.448760145
344	4.448598213
345	4.448343736
346	4.448132388
347	4.447890595
348	4.447663505
349	4.447500913
350	4.447367105
351	4.447158839
352	4.446890347
353	4.446665756
354	4.446532564
355	4.446261423
356	4.446011778
357	4.445803614
358	4.445665
359	4.445446206
360	4.445310409
361	4.445099058
362	4.444981032
363	4.444840203
364	4.4446989
365	4.444500953
366	4.444361396
367	4.44423337
368	4.444014949
369	4.443811473
370	4.443650523
371	4.443391484
372	4.443197188
373	4.44304036
374	4.442831943
375	4.442723193
376	4.442571722
377	4.442389639
378	4.44227041
379	4.441935727
380	4.441812312
381	4.44155116
382	4.441459598
383	4.441171097
384	4.440940343
385	4.440672856
386	4.440475147
387	4.440277208
388	4.440112017
389	4.439802232
390	4.439583618
391	4.439316752
392	4.439000199
393	4.438915763
394	4.438681988
395	4.438470418
396	4.438233728
397	4.438053742
398	4.437871623
399	4.437684704
