iter	Passed	Remaining
352	2681	356
353	2687	349
354	2695	341
355	2702	334
356	2710	326
357	2717	318
358	2724	311
359	2732	303
360	2739	295
361	2747	288
362	2754	280
363	2761	273
364	2768	265
365	2775	257
366	2783	250
367	2789	242
368	2796	234
369	2803	227
370	2810	219
371	2819	212
372	2826	204
373	2834	197
374	2840	189
375	2848	181
376	2855	174
377	2862	166
378	2869	158
379	2876	151
380	2883	143
381	2890	136
382	2897	128
383	2905	121
384	2912	113
385	2919	105
386	2927	98
387	2934	90
388	2941	83
389	2949	75
390	2956	68
391	2964	60
392	2972	52
393	2979	45
394	2986	37
395	2994	30
396	3001	22
397	3008	15
398	3016	7
399	3023	0
