G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 20, 2021",8:00p,,Box Score,,Cleveland Cavaliers,W,,132,121,1,0,W 1,15975,2:07,,MEM,2022
2,"Sat, Oct 23, 2021",10:30p,,Box Score,@,Los Angeles Clippers,W,,120,114,2,0,W 2,16748,2:13,,MEM,2022
3,"Sun, Oct 24, 2021",9:30p,,Box Score,@,Los Angeles Lakers,L,,118,121,2,1,L 1,18997,2:24,,MEM,2022
4,"Wed, Oct 27, 2021",10:00p,,Box Score,@,Portland Trail Blazers,L,,96,116,2,2,L 2,16241,2:19,,MEM,2022
5,"Thu, Oct 28, 2021",10:00p,,Box Score,@,Golden State Warriors,W,OT,104,101,3,2,W 1,18064,2:23,,MEM,2022
6,"Sat, Oct 30, 2021",8:00p,,Box Score,,Miami Heat,L,,103,129,3,3,L 1,15989,2:10,,MEM,2022
7,"Mon, Nov 1, 2021",8:00p,,Box Score,,Denver Nuggets,W,,106,97,4,3,W 1,12683,2:02,,MEM,2022
8,"Wed, Nov 3, 2021",8:00p,,Box Score,,Denver Nuggets,W,,108,106,5,3,W 2,12977,2:11,,MEM,2022
9,"Fri, Nov 5, 2021",7:00p,,Box Score,@,Washington Wizards,L,,87,115,5,4,L 1,16302,2:06,,MEM,2022
10,"Mon, Nov 8, 2021",8:00p,,Box Score,,Minnesota Timberwolves,W,OT,125,118,6,4,W 1,12416,2:36,,MEM,2022
11,"Wed, Nov 10, 2021",8:00p,,Box Score,,Charlotte Hornets,L,,108,118,6,5,L 1,13880,2:09,,MEM,2022
12,"Fri, Nov 12, 2021",8:00p,,Box Score,,Phoenix Suns,L,,94,119,6,6,L 2,15886,2:03,,MEM,2022
13,"Sat, Nov 13, 2021",7:00p,,Box Score,@,New Orleans Pelicans,L,,101,112,6,7,L 3,14358,2:13,,MEM,2022
14,"Mon, Nov 15, 2021",8:00p,,Box Score,,Houston Rockets,W,,136,102,7,7,W 1,11482,2:04,,MEM,2022
15,"Thu, Nov 18, 2021",8:00p,,Box Score,,Los Angeles Clippers,W,,120,108,8,7,W 2,13419,2:00,,MEM,2022
16,"Sat, Nov 20, 2021",8:00p,,Box Score,@,Minnesota Timberwolves,L,,95,138,8,8,L 1,17136,2:20,,MEM,2022
17,"Mon, Nov 22, 2021",9:00p,,Box Score,@,Utah Jazz,W,,119,118,9,8,W 1,18306,2:17,,MEM,2022
18,"Wed, Nov 24, 2021",8:00p,,Box Score,,Toronto Raptors,L,,113,126,9,9,L 1,15409,2:13,,MEM,2022
19,"Fri, Nov 26, 2021",8:00p,,Box Score,,Atlanta Hawks,L,,100,132,9,10,L 2,16622,2:03,,MEM,2022
20,"Sun, Nov 28, 2021",6:00p,,Box Score,,Sacramento Kings,W,,128,101,10,10,W 1,12844,2:12,,MEM,2022
21,"Tue, Nov 30, 2021",7:30p,,Box Score,@,Toronto Raptors,W,,98,91,11,10,W 2,19800,2:13,,MEM,2022
22,"Thu, Dec 2, 2021",8:00p,,Box Score,,Oklahoma City Thunder,W,,152,79,12,10,W 3,13103,1:58,,MEM,2022
23,"Sat, Dec 4, 2021",8:30p,,Box Score,@,Dallas Mavericks,W,,97,90,13,10,W 4,19396,2:24,,MEM,2022
24,"Mon, Dec 6, 2021",7:30p,,Box Score,@,Miami Heat,W,,105,90,14,10,W 5,19600,2:19,,MEM,2022
25,"Wed, Dec 8, 2021",8:00p,,Box Score,,Dallas Mavericks,L,,96,104,14,11,L 1,14025,2:21,,MEM,2022
26,"Thu, Dec 9, 2021",8:00p,,Box Score,,Los Angeles Lakers,W,,108,95,15,11,W 1,16334,2:06,,MEM,2022
27,"Sat, Dec 11, 2021",8:00p,,Box Score,,Houston Rockets,W,,113,106,16,11,W 2,17794,2:24,,MEM,2022
28,"Mon, Dec 13, 2021",8:00p,,Box Score,,Philadelphia 76ers,W,,126,91,17,11,W 3,13420,2:05,,MEM,2022
29,"Wed, Dec 15, 2021",10:00p,,Box Score,@,Portland Trail Blazers,W,,113,103,18,11,W 4,15773,2:20,,MEM,2022
30,"Fri, Dec 17, 2021",10:00p,,Box Score,@,Sacramento Kings,W,,124,105,19,11,W 5,14659,2:13,,MEM,2022
31,"Sun, Dec 19, 2021",6:00p,,Box Score,,Portland Trail Blazers,L,,100,105,19,12,L 1,15977,2:22,,MEM,2022
