No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
44,DÄvis BertÄns,PF,6-10,225,"November 12, 1992",lv LV,5,,DAL,2022
44,Charlie Brown Jr.,SG,6-6,199,"February 2, 1997",us US,2,Saint Joseph's,DAL,2022
9,Moses Brown,C,7-2,258,"October 13, 1999",us US,2,UCLA,DAL,2022
0,Sterling Brown,SG,6-5,219,"February 10, 1995",us US,4,SMU,DAL,2022
13,Jalen Brunson,SG,6-2,190,"August 31, 1996",us US,3,Villanova,DAL,2022
25,Reggie Bullock,SF,6-6,205,"March 16, 1991",us US,8,UNC,DAL,2022
3,Trey Burke,PG,6-0,185,"November 12, 1992",us US,8,Michigan,DAL,2022
33,Willie Cauley-Stein,C,7-0,240,"August 18, 1993",us US,6,Kentucky,DAL,2022
32,Marquese Chriss,PF,6-9,240,"July 2, 1997",us US,5,Washington,DAL,2022
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,7,Colorado,DAL,2022
77,Luka DonÄiÄ,PG,6-8,230,"February 28, 1999",si SI,3,,DAL,2022
10,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us US,5,Florida,DAL,2022
8,Josh Green,SG,6-6,200,"November 16, 2000",au AU,1,Arizona,DAL,2022
11,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us US,8,Michigan,DAL,2022
23,Carlik Jones,PG,6-0,174,"December 23, 1997",us US,R,"Radford, Louisville",DAL,2022
94,George King,SF,6-6,220,"January 15, 1994",us US,1,Colorado,DAL,2022
42,Maxi Kleber,PF,6-10,240,"January 29, 1992",de DE,4,,DAL,2022
20,Brandon Knight,PG,6-2,182,"December 2, 1991",us US,8,Kentucky,DAL,2022
51,Boban MarjanoviÄ,C,7-4,290,"August 15, 1988",rs RS,6,,DAL,2022
30,JaQuori McLaughlin,PG,6-4,190,"January 29, 1998",us US,R,"Oregon State, UC Santa Barbara",DAL,2022
21,Frank Ntilikina,SG,6-4,200,"July 28, 1998",be BE,4,,DAL,2022
2,Eugene Omoruyi,SF,6-6,235,"February 14, 1997",ng NG,R,"Rutgers University, Oregon",DAL,2022
1,Theo Pinson,SF,6-5,212,"November 5, 1995",us US,3,UNC,DAL,2022
6,Kristaps PorziÅÄ£is,PF,7-2,240,"August 2, 1995",lv LV,5,,DAL,2022
7,Dwight Powell,C,6-10,240,"July 20, 1991",ca CA,7,Stanford,DAL,2022
2,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us US,10,Washington,DAL,2022
5,Moses Wright,PF,6-8,226,"December 23, 1998",us US,R,Georgia Tech,DAL,2022
