G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 25, 2023",8:00p,,Box Score,,Oklahoma City Thunder,L,,104,124,0,1,L 1,21369,2:05,,CHI,2024
2,"Fri, Oct 27, 2023",8:00p,,Box Score,,Toronto Raptors,W,OT,104,103,1,1,W 1,19555,2:45,,CHI,2024
3,"Sat, Oct 28, 2023",7:00p,,Box Score,@,Detroit Pistons,L,,102,118,1,2,L 1,20062,2:10,,CHI,2024
4,"Mon, Oct 30, 2023",7:00p,,Box Score,@,Indiana Pacers,W,,112,105,2,2,W 1,15021,2:26,,CHI,2024
5,"Wed, Nov 1, 2023",8:30p,,Box Score,@,Dallas Mavericks,L,,105,114,2,3,L 1,20103,2:07,,CHI,2024
6,"Fri, Nov 3, 2023",8:00p,,Box Score,,Brooklyn Nets,L,,107,109,2,4,L 2,20645,2:03,In-Season Tournament,CHI,2024
7,"Sat, Nov 4, 2023",9:00p,,Box Score,@,Denver Nuggets,L,,101,123,2,5,L 3,19610,2:08,,CHI,2024
8,"Mon, Nov 6, 2023",8:00p,,Box Score,,Utah Jazz,W,,130,113,3,5,W 1,18031,2:06,,CHI,2024
9,"Wed, Nov 8, 2023",8:00p,,Box Score,,Phoenix Suns,L,OT,115,116,3,6,L 1,18220,2:36,,CHI,2024
10,"Sun, Nov 12, 2023",7:00p,,Box Score,,Detroit Pistons,W,,119,108,4,6,W 1,19088,2:12,,CHI,2024
11,"Mon, Nov 13, 2023",8:00p,,Box Score,@,Milwaukee Bucks,L,,109,118,4,7,L 1,17865,2:16,,CHI,2024
12,"Wed, Nov 15, 2023",8:00p,,Box Score,,Orlando Magic,L,,94,96,4,8,L 2,19092,2:20,,CHI,2024
13,"Fri, Nov 17, 2023",8:00p,,Box Score,,Orlando Magic,L,,97,103,4,9,L 3,20235,2:17,In-Season Tournament,CHI,2024
14,"Sat, Nov 18, 2023",8:00p,,Box Score,,Miami Heat,W,,102,97,5,9,W 1,18063,2:18,,CHI,2024
15,"Mon, Nov 20, 2023",8:00p,,Box Score,,Miami Heat,L,,100,118,5,10,L 1,19258,2:09,,CHI,2024
16,"Wed, Nov 22, 2023",8:00p,,Box Score,@,Oklahoma City Thunder,L,,102,116,5,11,L 2,18203,2:14,,CHI,2024
17,"Fri, Nov 24, 2023",7:30p,,Box Score,@,Toronto Raptors,L,,108,121,5,12,L 3,19800,2:12,In-Season Tournament,CHI,2024
18,"Sun, Nov 26, 2023",7:30p,,Box Score,@,Brooklyn Nets,L,,109,118,5,13,L 4,16687,2:03,,CHI,2024
19,"Tue, Nov 28, 2023",7:30p,,Box Score,@,Boston Celtics,L,,97,124,5,14,L 5,19156,2:01,In-Season Tournament,CHI,2024
20,"Thu, Nov 30, 2023",8:00p,,Box Score,,Milwaukee Bucks,W,OT,120,113,6,14,W 1,19838,2:36,,CHI,2024
21,"Sat, Dec 2, 2023",8:00p,,Box Score,,New Orleans Pelicans,W,,124,118,7,14,W 2,20511,2:15,,CHI,2024
22,"Wed, Dec 6, 2023",8:00p,,Box Score,,Charlotte Hornets,W,,111,100,8,14,W 3,17689,2:17,,CHI,2024
23,"Fri, Dec 8, 2023",8:30p,,Box Score,@,San Antonio Spurs,W,,121,112,9,14,W 4,18074,2:12,,CHI,2024
24,"Mon, Dec 11, 2023",8:00p,,Box Score,@,Milwaukee Bucks,L,OT,129,133,9,15,L 1,17440,2:41,,CHI,2024
25,"Tue, Dec 12, 2023",8:00p,,Box Score,,Denver Nuggets,L,,106,114,9,16,L 2,20775,2:20,,CHI,2024
26,"Thu, Dec 14, 2023",7:30p,,Box Score,@,Miami Heat,W,,124,116,10,16,W 1,19653,2:19,,CHI,2024
27,"Sat, Dec 16, 2023",8:00p,,Box Score,@,Miami Heat,L,,116,118,10,17,L 1,19815,2:09,,CHI,2024
28,"Mon, Dec 18, 2023",7:00p,,Box Score,@,Philadelphia 76ers,W,,108,104,11,17,W 1,19773,2:09,,CHI,2024
29,"Wed, Dec 20, 2023",8:00p,,Box Score,,Los Angeles Lakers,W,,124,108,12,17,W 2,21234,2:00,,CHI,2024
30,"Thu, Dec 21, 2023",8:00p,,Box Score,,San Antonio Spurs,W,,114,95,13,17,W 3,20697,2:02,,CHI,2024
31,"Sat, Dec 23, 2023",8:00p,,Box Score,,Cleveland Cavaliers,L,,95,109,13,18,L 1,19583,2:07,,CHI,2024
32,"Tue, Dec 26, 2023",8:00p,,Box Score,,Atlanta Hawks,W,,118,113,14,18,W 1,21420,2:18,,CHI,2024
33,"Thu, Dec 28, 2023",8:00p,,Box Score,,Indiana Pacers,L,,104,120,14,19,L 1,21568,2:13,,CHI,2024
34,"Sat, Dec 30, 2023",8:00p,,Box Score,,Philadelphia 76ers,W,,105,92,15,19,W 1,21648,2:10,,CHI,2024
35,"Tue, Jan 2, 2024",7:00p,,Box Score,@,Philadelphia 76ers,L,,97,110,15,20,L 1,19772,2:17,,CHI,2024
36,"Wed, Jan 3, 2024",8:30p,,Box Score,@,New York Knicks,L,,100,116,15,21,L 2,19812,2:13,,CHI,2024
37,"Fri, Jan 5, 2024",8:00p,,Box Score,,Charlotte Hornets,W,,104,91,16,21,W 1,21345,2:06,,CHI,2024
38,"Mon, Jan 8, 2024",7:00p,,Box Score,@,Charlotte Hornets,W,OT,119,112,17,21,W 2,14418,2:18,,CHI,2024
39,"Wed, Jan 10, 2024",8:00p,,Box Score,,Houston Rockets,W,OT,124,119,18,21,W 3,21149,2:36,,CHI,2024
40,"Fri, Jan 12, 2024",8:00p,,Box Score,,Golden State Warriors,L,,131,140,18,22,L 1,21153,2:19,,CHI,2024
41,"Sat, Jan 13, 2024",8:30p,,Box Score,@,San Antonio Spurs,W,,122,116,19,22,W 1,18354,2:08,,CHI,2024
42,"Mon, Jan 15, 2024",7:00p,,Box Score,@,Cleveland Cavaliers,L,,91,109,19,23,L 1,19432,2:10,,CHI,2024
43,"Thu, Jan 18, 2024",7:30p,,Box Score,@,Toronto Raptors,W,,116,110,20,23,W 1,19312,2:13,,CHI,2024
44,"Sat, Jan 20, 2024",8:00p,,Box Score,,Memphis Grizzlies,W,,125,96,21,23,W 2,21441,2:07,,CHI,2024
45,"Mon, Jan 22, 2024",9:00p,,Box Score,@,Phoenix Suns,L,,113,115,21,24,L 1,17071,2:11,,CHI,2024
46,"Thu, Jan 25, 2024",10:30p,,Box Score,@,Los Angeles Lakers,L,,132,141,21,25,L 2,18997,2:15,,CHI,2024
47,"Sun, Jan 28, 2024",9:00p,,Box Score,@,Portland Trail Blazers,W,,104,96,22,25,W 1,17899,2:11,,CHI,2024
48,"Tue, Jan 30, 2024",8:00p,,Box Score,,Toronto Raptors,L,,107,118,22,26,L 1,21259,2:16,,CHI,2024
49,"Wed, Jan 31, 2024",7:00p,,Box Score,@,Charlotte Hornets,W,,117,110,23,26,W 1,13712,2:09,,CHI,2024
50,"Sat, Feb 3, 2024",8:00p,,Box Score,,Sacramento Kings,L,,115,123,23,27,L 1,21579,2:14,,CHI,2024
51,"Tue, Feb 6, 2024",8:00p,,Box Score,,Minnesota Timberwolves,W,OT,129,123,24,27,W 1,20949,2:40,,CHI,2024
52,"Thu, Feb 8, 2024",8:00p,,Box Score,@,Memphis Grizzlies,W,,118,110,25,27,W 2,16285,2:13,,CHI,2024
53,"Sat, Feb 10, 2024",7:00p,,Box Score,@,Orlando Magic,L,OT,108,114,25,28,L 1,19459,2:21,,CHI,2024
54,"Mon, Feb 12, 2024",7:30p,,Box Score,@,Atlanta Hawks,W,,136,126,26,28,W 1,16524,2:15,,CHI,2024
55,"Wed, Feb 14, 2024",7:30p,,Box Score,@,Cleveland Cavaliers,L,,105,108,26,29,L 1,19432,2:20,,CHI,2024
56,"Thu, Feb 22, 2024",8:00p,,Box Score,,Boston Celtics,L,,112,129,26,30,L 2,20313,2:03,,CHI,2024
57,"Sun, Feb 25, 2024",7:00p,,Box Score,@,New Orleans Pelicans,W,,114,106,27,30,W 1,18684,2:05,,CHI,2024
58,"Tue, Feb 27, 2024",8:00p,,Box Score,,Detroit Pistons,L,,95,105,27,31,L 1,21089,2:05,,CHI,2024
59,"Wed, Feb 28, 2024",8:00p,,Box Score,,Cleveland Cavaliers,W,2OT,132,123,28,31,W 1,21700,2:43,,CHI,2024
60,"Fri, Mar 1, 2024",10:00p,,Box Score,,Milwaukee Bucks,L,,97,113,28,32,L 1,21249,2:24,,CHI,2024
61,"Mon, Mar 4, 2024",10:00p,,Box Score,@,Sacramento Kings,W,,113,109,29,32,W 1,17832,2:19,,CHI,2024
62,"Wed, Mar 6, 2024",9:00p,,Box Score,@,Utah Jazz,W,,119,117,30,32,W 2,18206,2:13,,CHI,2024
63,"Thu, Mar 7, 2024",10:00p,,Box Score,@,Golden State Warriors,W,,125,122,31,32,W 3,18064,2:17,,CHI,2024
64,"Sat, Mar 9, 2024",4:00p,,Box Score,@,Los Angeles Clippers,L,,102,112,31,33,L 1,19370,2:11,,CHI,2024
65,"Mon, Mar 11, 2024",8:00p,,Box Score,,Dallas Mavericks,L,,92,127,31,34,L 2,21363,1:58,,CHI,2024
66,"Wed, Mar 13, 2024",7:30p,,Box Score,@,Indiana Pacers,W,OT,132,129,32,34,W 1,17274,2:44,,CHI,2024
67,"Thu, Mar 14, 2024",8:00p,,Box Score,,Los Angeles Clippers,L,,111,126,32,35,L 1,21219,2:00,,CHI,2024
68,"Sat, Mar 16, 2024",8:00p,,Box Score,,Washington Wizards,W,,127,98,33,35,W 1,21697,2:17,,CHI,2024
69,"Mon, Mar 18, 2024",8:00p,,Box Score,,Portland Trail Blazers,W,,110,107,34,35,W 2,20293,2:19,,CHI,2024
70,"Thu, Mar 21, 2024",8:00p,,Box Score,@,Houston Rockets,L,,117,127,34,36,L 1,17016,2:19,,CHI,2024
71,"Sat, Mar 23, 2024",8:00p,,Box Score,,Boston Celtics,L,,113,124,34,37,L 2,21198,2:00,,CHI,2024
72,"Mon, Mar 25, 2024",8:00p,,Box Score,,Washington Wizards,L,,105,107,34,38,L 3,21726,2:19,,CHI,2024
73,"Wed, Mar 27, 2024",8:00p,,Box Score,,Indiana Pacers,W,,125,99,35,38,W 1,22018,2:12,,CHI,2024
74,"Fri, Mar 29, 2024",7:30p,,Box Score,@,Brooklyn Nets,L,,108,125,35,39,L 1,17894,2:13,,CHI,2024
