No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
1,Mikal Bridges,SG,6-6,209,"August 30, 1996",us US,4,Villanova,BRK,2023
0,Moses Brown,C,7-2,258,"October 13, 1999",us US,3,UCLA,BRK,2023
33,Nic Claxton,C,6-11,215,"April 17, 1999",us US,3,Georgia,BRK,2023
30,Seth Curry,SG,6-1,185,"August 23, 1990",us US,8,"Liberty, Duke",BRK,2023
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,8,Colorado,BRK,2023
6,David Duke Jr.,SG,6-4,204,"October 13, 1999",us US,1,Providence,BRK,2023
7,Kevin Durant,PF,6-11,240,"September 29, 1988",us US,14,Texas,BRK,2023
14,Kessler Edwards,SF,6-8,203,"August 9, 2000",us US,1,Pepperdine,BRK,2023
28,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us US,6,Florida,BRK,2023
0,RaiQuan Gray,PF,6-7,260,"July 7, 1999",us US,R,Florida State,BRK,2023
12,Joe Harris,SF,6-6,220,"September 6, 1991",us US,8,Virginia,BRK,2023
11,Kyrie Irving,PG,6-2,195,"March 23, 1992",au AU,11,Duke,BRK,2023
2,Cameron Johnson,PF,6-8,210,"March 3, 1996",us US,3,"Pitt, UNC",BRK,2023
8,Patty Mills,PG,6-2,180,"August 11, 1988",au AU,13,Saint Mary's,BRK,2023
13,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,11,Kansas,BRK,2023
0,Nerlens Noel,C,6-10,220,"April 10, 1994",us US,8,Kentucky,BRK,2023
0,Royce O'Neale,SF,6-6,226,"June 5, 1993",us US,5,"Denver, Baylor",BRK,2023
20,Day'Ron Sharpe,C,6-10,265,"November 6, 2001",us US,1,UNC,BRK,2023
10,Ben Simmons,PG,6-10,240,"July 20, 1996",au AU,4,LSU,BRK,2023
9,Dru Smith,SG,6-2,203,"December 30, 1997",us US,R,"University of Evansville, Missouri",BRK,2023
4,Edmond Sumner,SG,6-4,190,"December 31, 1995",us US,4,Xavier,BRK,2023
24,Cam Thomas,SG,6-3,210,"October 13, 2001",jp JP,1,LSU,BRK,2023
1,T.J. Warren,PF,6-8,220,"September 5, 1993",us US,7,NC State,BRK,2023
18,Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp JP,4,George Washington,BRK,2023
31,Alondes Williams,SG,6-4,210,"June 19, 1999",us US,R,"Triton College, Oklahoma, Wake Forest",BRK,2023
