No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
35,Marvin Bagley III,PF,6-10,235,"March 14, 1999",us US,3,Duke,DET,2022
41,Saddiq Bey,SF,6-8,215,"April 9, 1999",us US,1,Villanova,DET,2022
2,Cade Cunningham,SG,6-6,220,"September 25, 2001",us US,R,Oklahoma State,DET,2022
0,Cheick Diallo,C,6-8,219,"September 13, 1996",ml ML,4,Kansas,DET,2022
6,Hamidou Diallo,SG,6-5,202,"July 31, 1998",us US,3,Kentucky,DET,2022
20,Carsen Edwards,SG,5-11,200,"March 12, 1998",us US,2,Purdue,DET,2022
55,Luka Garza,C,6-10,243,"December 27, 1998",us US,R,Iowa,DET,2022
9,Jerami Grant,PF,6-7,213,"March 12, 1994",us US,7,Syracuse,DET,2022
7,Killian Hayes,PG,6-4,195,"July 27, 2001",us US,1,,DET,2022
5,Frank Jackson,PG,6-3,205,"May 4, 1998",us US,3,Duke,DET,2022
20,Josh Jackson,SF,6-8,207,"February 10, 1997",us US,4,Kansas,DET,2022
18,Cory Joseph,PG,6-2,200,"August 20, 1991",ca CA,10,Texas,DET,2022
8,Braxton Key,SF,6-7,225,"February 14, 1997",us US,R,"Alabama, Virginia",DET,2022
38,Saben Lee,PG,6-2,183,"June 23, 1999",us US,1,Vanderbilt,DET,2022
12,Isaiah Livers,SF,6-6,232,"July 28, 1998",us US,R,Michigan,DET,2022
8,Trey Lyles,PF,6-9,234,"November 5, 1995",ca CA,6,Kentucky,DET,2022
17,Rodney McGruder,SG,6-4,205,"July 29, 1991",us US,5,Kansas State,DET,2022
13,Kelly Olynyk,C,7-0,240,"April 19, 1991",ca CA,8,Gonzaga,DET,2022
42,Jaysean Paige,PG,6-2,200,"July 30, 1994",us US,R,"College of Southern Idaho, Moberly Area Community College, West Virginia",DET,2022
31,Trayvon Palmer,SG,6-6,200,"November 13, 1994",us US,R,"North Dakota State College of Science, Chicago State",DET,2022
24,Jamorko Pickett,PF,6-9,206,"December 24, 1997",us US,R,Georgetown,DET,2022
19,Micah Potter,C,6-9,248,"April 6, 1998",us US,R,"Ohio State, Wisconsin",DET,2022
34,Justin Robinson,PG,6-1,195,"October 12, 1997",us US,2,Virginia Tech,DET,2022
91,Deividas Sirvydis,SG,6-8,190,"June 10, 2000",lt LT,1,,DET,2022
14,Cassius Stanley,SG,6-5,190,"August 18, 1999",us US,1,Duke,DET,2022
28,Isaiah Stewart,C,6-8,250,"May 22, 2001",us US,1,Washington,DET,2022
25,Derrick Walton,PG,6-0,189,"April 3, 1995",us US,2,Michigan,DET,2022
