Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,51,31,48,34,2.61,-0.04,2.57,113.5,110.8,96.2,0.282,0.376,0.534,11.6,20.1,0.232,0.524,12.1,76.8,0.192,Wells Fargo Center,846867,PHI,2022
Lg Rank,6,23,9,9,10.0,19.0,9.0,12.0,12.0,25.0,2.0,22.0,16.0,7.0,29.0,1.0,11.0,16.0,17.0,13.0,,2,PHI,2022
