No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
77,VJ Edgecombe,SG,6-4,180,"July 30, 2005",bs BS,R,Baylor,PHI,2026
5,Quentin Grimes,SG,6-4,210,"May 8, 2000",us US,4,"Kansas, Houston",PHI,2026
25,Dominick Barlow,PF,6-9,215,"May 26, 2003",us US,3,,PHI,2026
30,Adem Bona,C,6-10,235,"March 28, 2003",ng NG,1,UCLA,PHI,2026
0,Tyrese Maxey,PG,6-2,200,"November 4, 2000",us US,5,Kentucky,PHI,2026
11,Justin Edwards,SF,6-7,203,"December 16, 2003",us US,1,Kentucky,PHI,2026
33,Jabari Walker,PF,6-7,237,"July 30, 2002",us US,3,Colorado,PHI,2026
1,Andre Drummond,C,6-11,279,"August 10, 1993",us US,13,UConn,PHI,2026
12,Trendon Watford,PF,6-8,237,"November 9, 2000",us US,4,LSU,PHI,2026
9,Kelly Oubre Jr.,SF,6-8,203,"December 9, 1995",us US,10,Kansas,PHI,2026
21,Joel Embiid,C,7-0,280,"March 16, 1994",cm CM,9,Kansas,PHI,2026
8,Paul George,PF,6-8,220,"May 2, 1990",us US,15,Fresno State,PHI,2026
16,MarJon Beauchamp (TW),SF,6-7,199,"October 12, 2000",us US,3,Yakima Valley Community College,PHI,2026
14,Dalen Terry,SG,6-6,195,"July 12, 2002",us US,3,Arizona,PHI,2026
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us US,19,Villanova,PHI,2026
22,Johni Broome,C,6-10,235,"July 19, 2002",us US,R,"Morehead State University, Auburn",PHI,2026
23,Tyrese Martin (TW),SG,6-6,215,"March 7, 1999",us US,2,"Rhode Island, UConn",PHI,2026
