Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,44,38,40,42,-0.32,0.18,-0.13,113.0,113.3,96.3,0.27,0.408,0.53,12.4,22.8,0.224,0.561,14.5,77.7,0.198,Kaseya Center,807190,MIA,2023
Lg Rank,11,18,21,21,21.0,6.0,19.0,25.0,9.0,29.0,13.0,9.0,25.0,14.0,21.0,8.0,25.0,2.0,5.0,7.0,,5,MIA,2023
