Rk,Unnamed: 1,Salary,Team,Season
1,Giannis Antetokounmpo,"$45,640,084",MIL,2024
2,Damian Lillard,"$45,640,084",MIL,2024
3,Khris Middleton,"$29,320,988",MIL,2024
4,Brook Lopez,"$25,000,000",MIL,2024
5,Bobby Portis,"$11,710,818",MIL,2024
6,Pat Connaughton,"$9,423,869",MIL,2024
7,MarJon Beauchamp,"$2,609,400",MIL,2024
8,Malik Beasley,"$2,019,706",MIL,2024
9,Thanasis Antetokounmpo,"$2,019,706",MIL,2024
10,Jae Crowder,"$2,019,706",MIL,2024
11,Patrick Beverley,"$2,019,706",MIL,2024
12,A.J. Green,"$1,901,769",MIL,2024
13,Chris Livingston,"$1,119,563",MIL,2024
14,Andre Jackson,"$1,119,563",MIL,2024
15,Danilo Gallinari,"$661,628",MIL,2024
16,TyTy Washington,,MIL,2024
17,Marques Bolden,,MIL,2024
18,Lindell Wigginton,,MIL,2024
19,Ryan Rollins,,MIL,2024
20,Jaylin Galloway,,MIL,2024
