Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,27,55,24,58,-7.0,0.43,-6.57,107.2,114.3,98.2,0.238,0.428,0.509,13.4,23.8,0.182,0.551,13.5,74.8,0.195,FedEx Forum,681875,MEM,2024
Lg Rank,24,7,26,26,26.0,6.0,26.0,30.0,12.0,16.0,18.0,5.0,29.0,28.0,19.0,19.0,19.0,3.0,22.0,19.0,,28,MEM,2024
