No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
33,Nic Claxton,C,6-11,215,"April 17, 1999",us US,6,Georgia,BRK,2026
21,Noah Clowney,PF,6-10,210,"July 14, 2004",us US,2,Alabama,BRK,2026
14,Terance Mann,SG,6-6,215,"October 18, 1996",us US,6,Florida State,BRK,2026
4,Drake Powell,SG,6-5,195,"September 8, 2005",us US,R,UNC,BRK,2026
20,Day'Ron Sharpe,C,6-10,265,"November 6, 2001",us US,4,UNC,BRK,2026
2,Danny Wolf,PF,6-11,250,"May 5, 2004",us US,R,"Yale, Michigan",BRK,2026
1,Ziaire Williams,SF,6-9,185,"September 12, 2001",us US,4,Stanford,BRK,2026
88,Nolan TraorÃ©,PG,6-3,185,"May 28, 2006",fr FR,R,,BRK,2026
22,Jalen Wilson,PF,6-6,220,"November 4, 2000",us US,2,Kansas,BRK,2026
17,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",us US,6,Missouri,BRK,2026
8,Egor DÑmin,PG,6-8,200,"March 3, 2006",ru RU,R,BYU,BRK,2026
77,Ben Saraf,SG,6-6,200,"April 14, 2006",za ZA,R,,BRK,2026
9,E.J. Liddell (TW),PF,6-6,240,"December 18, 2000",us US,2,Ohio State,BRK,2026
10,Tyson Etienne (TW),PG,6-0,200,"September 17, 1999",us US,1,Wichita State,BRK,2026
30,Ochai Agbaji,SG,6-5,215,"April 20, 2000",us US,3,Kansas,BRK,2026
31,Chaney Johnson (TW),SF,6-7,220,"June 20, 2002",us US,R,Auburn,BRK,2026
0,Josh Minott,SF,6-8,205,"November 25, 2002",us US,3,Memphis,BRK,2026
18,Malachi Smith,SG,6-4,205,"December 6, 1999",us US,R,"Wright State University, Chattanooga, Gonzaga",BRK,2026
