No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
6,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca CA,2,Virginia Tech,NOP,2022
15,Jose Alvarado,PG,6-0,179,"April 12, 1998",us US,R,Georgia Tech,NOP,2022
12,Gary Clark,PF,6-6,225,"November 16, 1994",us US,3,Cincinnati,NOP,2022
4,Devonte' Graham,PG,6-1,195,"February 22, 1995",us US,3,Kansas,NOP,2022
2,Jared Harper,PG,5-10,175,"September 14, 1997",us US,2,Auburn,NOP,2022
3,Josh Hart,SG,6-5,215,"March 6, 1995",us US,4,Villanova,NOP,2022
10,Jaxson Hayes,C,7-0,220,"May 23, 2000",us US,2,Texas,NOP,2022
9,Willy HernangÃ³mez,C,6-11,250,"May 27, 1994",es ES,5,,NOP,2022
14,Brandon Ingram,SF,6-8,190,"September 2, 1997",us US,5,Duke,NOP,2022
24,Alize Johnson,PF,6-9,212,"April 22, 1996",us US,3,"Frank Phillips College, Missouri State",NOP,2022
5,Herbert Jones,PF,6-7,206,"October 6, 1998",us US,R,Alabama,NOP,2022
13,Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",us US,1,Alabama,NOP,2022
0,Didi Louzada,SF,6-5,188,"February 7, 1999",br BR,1,,NOP,2022
8,Naji Marshall,SF,6-6,220,"January 24, 1998",us US,1,Xavier,NOP,2022
3,CJ McCollum,PG,6-3,190,"September 19, 1991",us US,8,Lehigh,NOP,2022
25,Trey Murphy III,SF,6-8,206,"June 18, 2000",us US,R,"Rice University, Virginia",NOP,2022
22,Larry Nance Jr.,PF,6-6,245,"January 1, 1993",us US,6,Wyoming,NOP,2022
31,TomÃ¡Å¡ SatoranskÃ½,SG,6-7,210,"October 30, 1991",cz CZ,5,,NOP,2022
21,Tony Snell,SG,6-6,213,"November 10, 1991",us US,8,New Mexico,NOP,2022
41,Garrett Temple,SG,6-5,195,"May 8, 1986",us US,11,LSU,NOP,2022
17,Jonas ValanÄiÅ«nas,C,6-11,265,"May 6, 1992",lt LT,9,,NOP,2022
6,Tyrone Wallace,SG,6-5,198,"June 10, 1994",us US,3,California,NOP,2022
