No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
26,Kent Bazemore,SF,6-4,195,"July 1, 1989",us US,8,Old Dominion,GSW,2021
20,Jordan Bell,C,6-8,216,"January 7, 1995",us US,3,Oregon,GSW,2021
32,Marquese Chriss,PF,6-9,240,"July 2, 1997",us US,4,Washington,GSW,2021
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us US,11,Davidson,GSW,2021
23,Draymond Green,PF,6-6,230,"March 4, 1990",us US,8,Michigan State,GSW,2021
1,Damion Lee,SG,6-6,210,"October 21, 1992",us US,3,"Drexel, Louisville",GSW,2021
5,Kevon Looney,C,6-9,222,"February 6, 1996",us US,5,UCLA,GSW,2021
2,Nico Mannion,PG,6-2,190,"March 14, 2001",it IT,R,Arizona,GSW,2021
15,Mychal Mulder,PG,6-3,195,"June 12, 1994",ca CA,1,"Vincennes University, Kentucky",GSW,2021
12,Kelly Oubre Jr.,SF,6-8,203,"December 9, 1995",us US,5,Kansas,GSW,2021
7,Eric Paschall,PF,6-6,255,"November 4, 1996",us US,1,"Fordham, Villanova",GSW,2021
0,Gary Payton II,PG,6-2,195,"December 1, 1992",us US,4,Oregon State,GSW,2021
3,Jordan Poole,SG,6-4,194,"June 19, 1999",us US,1,Michigan,GSW,2021
6,Alen SmailagiÄ,PF,6-10,215,"August 18, 2000",rs RS,1,,GSW,2021
95,Juan Toscano-Anderson,SG,6-6,209,"April 10, 1993",us US,1,Marquette,GSW,2021
10,Brad Wanamaker,PG,6-3,210,"July 25, 1989",us US,2,Pitt,GSW,2021
22,Andrew Wiggins,PF,6-6,197,"February 23, 1995",ca CA,6,Kansas,GSW,2021
33,James Wiseman,C,6-11,240,"March 31, 2001",us US,R,Memphis,GSW,2021
