Rk,Unnamed: 1,Salary,Team,Season
1,Jaylen Brown,"$49,205,800",BOS,2025
2,Jayson Tatum,"$34,848,340",BOS,2025
3,Jrue Holiday,"$30,000,000",BOS,2025
4,Kristaps PorziÅÄ£is,"$29,268,293",BOS,2025
5,Derrick White,"$20,071,429",BOS,2025
6,Al Horford,"$9,500,000",BOS,2025
7,Payton Pritchard,"$6,696,429",BOS,2025
8,Baylor Scheierman,"$2,494,320",BOS,2025
9,Xavier Tillman,"$2,237,691",BOS,2025
10,Neemias Queta,"$2,162,606",BOS,2025
11,Sam Hauser,"$2,092,344",BOS,2025
12,Luke Kornet,"$2,087,519",BOS,2025
13,Jordan Walsh,"$1,891,857",BOS,2025
14,Torrey Craig,"$779,820",BOS,2025
15,JD Davison,"$11,997",BOS,2025
16,Drew Peterson,,BOS,2025
17,JD Davison,,BOS,2025
18,Miles Norris,,BOS,2025
