No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
7,Santi Aldama,PF,7-0,215,"January 10, 2001",es ES,2,Loyola (MD),MEM,2024
0,Timmy Allen,SF,6-6,210,"January 9, 2000",us US,R,"Utah, Texas",MEM,2024
22,Desmond Bane,SG,6-6,215,"June 25, 1998",us US,3,TCU,MEM,2024
18,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,12,,MEM,2024
15,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca CA,4,"San Jose State, Gonzaga",MEM,2024
18,Tosan Evbuomwan,SF,6-8,217,"February 16, 2001",gb GB,R,Princeton,MEM,2024
32,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",sd SD,4,Kentucky,MEM,2024
0,Jacob Gilyard,PG,5-8,160,"July 14, 1998",us US,1,Richmond,MEM,2024
4,Jordan Goodwin,PG,6-3,215,"October 23, 1998",us US,2,Saint Louis,MEM,2024
1,Shaquille Harrison,SG,6-4,195,"October 6, 1993",us US,6,Tulsa,MEM,2024
20,Matthew Hurt,PF,6-9,233,"April 20, 2000",us US,R,Duke,MEM,2024
45,GG Jackson II,PF,6-9,210,"December 17, 2004",us US,R,South Carolina,MEM,2024
13,Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",us US,5,Michigan State,MEM,2024
77,DeJon Jarreau,SG,6-5,185,"January 23, 1998",us US,1,"UMass, Houston",MEM,2024
55,Trey Jemison,C,6-10,270,"November 28, 1999",us US,R,"Clemson, UAB",MEM,2024
10,Luke Kennard,SG,6-5,206,"June 24, 1996",us US,6,Duke,MEM,2024
46,John Konchar,SF,6-5,210,"March 22, 1996",us US,4,Purdue-Fort Wayne,MEM,2024
3,Jake LaRavia,PF,6-7,235,"November 3, 2001",us US,1,"Indiana State University, Wake Forest",MEM,2024
6,Kenneth Lofton Jr.,PF,6-6,275,"August 14, 2002",us US,1,Louisiana Tech,MEM,2024
12,Ja Morant,PG,6-2,174,"August 10, 1999",us US,4,Murray State,MEM,2024
24,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us US,4,Washington,MEM,2024
25,Ṃozinha Pereira,SF,6-8,177,"August 28, 2000",br BR,R,,MEM,2024
1,Scotty Pippen Jr.,PG,6-2,170,"November 10, 2000",us US,1,Vanderbilt,MEM,2024
21,David Roddy,PF,6-5,255,"March 27, 2001",us US,1,Colorado State,MEM,2024
23,Derrick Rose,PG,6-3,200,"October 4, 1988",us US,14,Memphis,MEM,2024
2,Zavier Simpson,PG,6-0,190,"February 11, 1997",us US,1,Michigan,MEM,2024
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us US,9,Oklahoma State,MEM,2024
24,Lamar Stevens,PF,6-7,230,"July 9, 1997",us US,3,Penn State,MEM,2024
2,Xavier Tillman Sr.,C,6-8,245,"January 12, 1999",us US,3,Michigan State,MEM,2024
18,Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp JP,5,George Washington,MEM,2024
14,Jack White,SF,6-7,225,"August 5, 1997",au AU,1,Duke,MEM,2024
5,Vince Williams Jr.,SG,6-4,205,"August 30, 2000",us US,1,VCU,MEM,2024
8,Ziaire Williams,SF,6-9,185,"September 12, 2001",us US,2,Stanford,MEM,2024
