Rk,Unnamed: 1,Salary,Team,Season
1,James Harden,"$41,254,920",BRK,2021
2,Kevin Durant,"$39,058,950",BRK,2021
3,Kyrie Irving,"$33,460,350",BRK,2021
4,Joe Harris,"$16,071,429",BRK,2021
5,Spencer Dinwiddie,"$11,454,048",BRK,2021
6,DeAndre Jordan,"$10,375,678",BRK,2021
7,Jeff Green,"$2,564,753",BRK,2021
8,Landry Shamet,"$2,090,040",BRK,2021
9,Timoth̩ Luwawu-Cabarrot,"$1,824,003",BRK,2021
10,Bruce Brown,"$1,663,861",BRK,2021
11,Tyler Johnson,"$1,620,564",BRK,2021
12,Nic Claxton,"$1,517,981",BRK,2021
13,Blake Griffin,"$776,983",BRK,2021
14,Alize Johnson,"$621,587",BRK,2021
15,Iman Shumpert,"$558,153",BRK,2021
16,LaMarcus Aldridge,"$554,988",BRK,2021
17,Andre Roberson,"$274,816",BRK,2021
18,Noah Vonleh,"$263,995",BRK,2021
19,Mike James,"$237,648",BRK,2021
20,Norvel Pelle,"$217,845",BRK,2021
21,Tyler Cook,"$99,020",BRK,2021
22,Chris Chiozza,$0,BRK,2021
23,Reggie Perry,$0,BRK,2021
