Rk,Unnamed: 1,Salary,Team,Season
1,Russell Westbrook,"$44,211,146",LAL,2022
2,LeBron James,"$41,180,544",LAL,2022
3,Anthony Davis,"$35,361,360",LAL,2022
4,Talen Horton-Tucker,"$9,500,000",LAL,2022
5,Kendrick Nunn,"$5,000,000",LAL,2022
6,Luol Deng,"$5,000,000",LAL,2022
7,Dwight Howard,"$2,641,691",LAL,2022
8,DeAndre Jordan,"$2,641,691",LAL,2022
9,Carmelo Anthony,"$2,641,691",LAL,2022
10,Wayne Ellington,"$2,641,691",LAL,2022
11,Avery Bradley,"$2,641,691",LAL,2022
12,Trevor Ariza,"$2,641,691",LAL,2022
13,Kent Bazemore,"$2,401,537",LAL,2022
14,Malik Monk,"$1,789,256",LAL,2022
15,Stanley Johnson,"$1,248,865",LAL,2022
16,Austin Reaves,"$925,258",LAL,2022
17,D.J. Augustin,"$622,467",LAL,2022
18,Darren Collison,"$151,821",LAL,2022
19,Isaiah Thomas,"$138,019",LAL,2022
20,Jemerrio Jones,"$85,578",LAL,2022
21,Wenyen Gabriel,"$29,814",LAL,2022
22,Sekou Doumbouya,$0,LAL,2022
23,Chaundee Brown,$0,LAL,2022
24,Jay Huff,$0,LAL,2022
25,Mason Jones,$0,LAL,2022
26,Mac McClung,$0,LAL,2022
