Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,26,56,23,59,-7.11,0.16,-6.95,108.5,115.8,96.4,0.24,0.458,0.516,13.7,24.5,0.189,0.557,13.7,75.0,0.218,Barclays Center,713304,BRK,2025
Lg Rank,25,6,26,26,26.0,12.0,26.0,28.0,20.0,27.0,20.0,3.0,27.0,28.0,18.0,16.0,26.0,7.0,13.0,28.0,,21,BRK,2025
