No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
26,Dominick Barlow,PF,6-9,215,"May 26, 2003",us US,1,,SAS,2024
28,Charles Bassey,C,6-10,230,"October 28, 2000",ng NG,2,Western Kentucky,SAS,2024
15,Jamaree Bouyea,PG,6-2,180,"June 27, 1999",us US,1,San Francisco,SAS,2024
22,Malaki Branham,PG,6-4,180,"May 12, 2003",us US,1,Ohio State,SAS,2024
30,Julian Champagnie,SF,6-7,217,"June 29, 2001",us US,1,St. John's,SAS,2024
25,Sidy Cissoko,SF,6-6,220,"April 2, 2004",fr FR,R,,SAS,2024
23,Zach Collins,C,6-9,250,"November 19, 1997",us US,5,Gonzaga,SAS,2024
29,Mamadi Diakite,PF,6-9,228,"January 21, 1997",gn GN,3,Virginia,SAS,2024
7,David Duke Jr.,SG,6-4,204,"October 13, 1999",us US,2,Providence,SAS,2024
4,Devonte' Graham,PG,6-1,195,"February 22, 1995",us US,5,Kansas,SAS,2024
41,RaiQuan Gray,PF,6-7,260,"July 7, 1999",us US,1,Florida State,SAS,2024
3,Keldon Johnson,SF,6-6,220,"October 11, 1999",us US,4,Kentucky,SAS,2024
33,Tre Jones,PG,6-1,185,"January 8, 2000",us US,3,Duke,SAS,2024
54,Sandro Mamukelashvili,C,6-9,240,"May 23, 1999",us US,2,Seton Hall,SAS,2024
17,Doug McDermott,SF,6-7,225,"January 3, 1992",us US,9,Creighton,SAS,2024
16,Cedi Osman,SF,6-7,230,"April 8, 1995",mk MK,6,,SAS,2024
10,Jeremy Sochan,PF,6-8,230,"May 20, 2003",us US,1,Baylor,SAS,2024
24,Devin Vassell,SG,6-5,200,"August 23, 2000",us US,3,Florida State,SAS,2024
1,Victor Wembanyama,C,7-4,235,"January 4, 2004",fr FR,R,,SAS,2024
14,Blake Wesley,SG,6-4,190,"March 16, 2003",us US,1,Notre Dame,SAS,2024
