Rk,Unnamed: 1,Salary,Team,Season
1,CJ McCollum,"$30,864,198",NOP,2022
2,Brandon Ingram,"$29,467,800",NOP,2022
3,Jonas ValanÄiÅ«nas,"$14,000,000",NOP,2022
4,Devonte' Graham,"$11,000,000",NOP,2022
5,Zion Williamson,"$10,733,400",NOP,2022
6,Larry Nance,"$10,690,909",NOP,2022
7,Jaxson Hayes,"$5,348,280",NOP,2022
8,Garrett Temple,"$4,910,000",NOP,2022
9,Kira Lewis,"$3,822,240",NOP,2022
10,Trey Murphy,"$3,053,760",NOP,2022
11,Tony Snell,"$2,389,641",NOP,2022
12,Willy HernangÃ³mez,"$2,327,220",NOP,2022
13,Herbert Jones,"$1,700,000",NOP,2022
14,Naji Marshall,"$1,517,981",NOP,2022
15,Jose Alvarado,"$1,500,000",NOP,2022
16,Gary Clark,"$377,645",NOP,2022
17,Alize Johnson,"$198,760",NOP,2022
18,Tyrone Wallace,"$191,860",NOP,2022
19,Wenyen Gabriel,"$99,380",NOP,2022
20,Justin James,"$95,930",NOP,2022
21,Miye Oni,"$95,930",NOP,2022
22,Jared Harper,"$95,930",NOP,2022
23,Zylan Cheatham,"$89,057",NOP,2022
24,Feron Hunt,"$53,176",NOP,2022
25,Daulton Hommes,$0,NOP,2022
26,Anthony Tolliver,$0,NOP,2022
