No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
12,Grayson Allen,SG,6-3,198,"October 8, 1995",us US,4,Duke,MIL,2023
34,Giannis Antetokounmpo,PF,6-11,243,"December 6, 1994",gr GR,9,,MIL,2023
43,Thanasis Antetokounmpo,PF,6-7,219,"July 18, 1992",gr GR,4,,MIL,2023
0,MarJon Beauchamp,SF,6-7,199,"October 12, 2000",us US,R,Yakima Valley Community College,MIL,2023
5,Jevon Carter,PG,6-0,200,"September 14, 1995",us US,4,West Virginia,MIL,2023
24,Pat Connaughton,SF,6-5,209,"January 6, 1993",us US,7,Notre Dame,MIL,2023
99,Jae Crowder,PF,6-6,235,"July 6, 1990",us US,10,Marquette,MIL,2023
31,Goran DragiÄ,PG,6-4,190,"May 6, 1986",si SI,14,,MIL,2023
20,A.J. Green,SG,6-4,190,"September 27, 1999",us US,R,University of Northern Iowa,MIL,2023
3,George Hill,PG,6-4,188,"May 4, 1986",us US,14,IUPUI,MIL,2023
21,Jrue Holiday,PG,6-4,220,"June 12, 1990",us US,13,UCLA,MIL,2023
25,Serge Ibaka,C,6-11,235,"September 18, 1989",cg CG,13,,MIL,2023
7,Joe Ingles,SF,6-8,220,"October 2, 1987",au AU,8,,MIL,2023
3,Meyers Leonard,C,7-0,260,"February 27, 1992",us US,9,Illinois,MIL,2023
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,14,Stanford,MIL,2023
54,Sandro Mamukelashvili,C,6-9,240,"May 23, 1999",us US,1,Seton Hall,MIL,2023
23,Wesley Matthews,SF,6-5,220,"October 14, 1986",us US,13,Marquette,MIL,2023
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,10,Texas A&M,MIL,2023
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us US,2,Louisville,MIL,2023
9,Bobby Portis,PF,6-9,250,"February 10, 1995",us US,7,Arkansas,MIL,2023
28,Lindell Wigginton,PG,6-1,189,"March 28, 1998",ca CA,1,Iowa State,MIL,2023
