Rk,Unnamed: 1,Salary,Team,Season
1,Kevin Durant,"$51,179,021",PHO,2025
2,Bradley Beal,"$50,203,930",PHO,2025
3,Devin Booker,"$49,205,800",PHO,2025
4,Grayson Allen,"$15,625,000",PHO,2025
5,Royce O'Neale,"$9,375,000",PHO,2025
6,Cody Martin,"$8,120,000",PHO,2025
7,Vasilije MiciÄ,"$7,723,000",PHO,2025
8,Nick Richards,"$5,000,000",PHO,2025
9,Nassir Little,"$3,107,143",PHO,2025
10,Ryan Dunn,"$2,530,800",PHO,2025
11,Damion Lee,"$2,087,519",PHO,2025
12,Tyus Jones,"$2,087,519",PHO,2025
13,Mason Plumlee,"$2,087,519",PHO,2025
14,Monte Morris,"$2,087,519",PHO,2025
15,Bol Bol,"$2,087,519",PHO,2025
16,Oso Ighodaro,"$1,157,153",PHO,2025
17,E.J. Liddell,"$706,898",PHO,2025
18,TyTy Washington,,PHO,2025
19,Collin Gillespie,,PHO,2025
20,Jalen Bridges,,PHO,2025
