No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
2,LaMelo Ball,PG,6-7,180,"August 22, 2001",us US,1,,CHO,2022
5,James Bouknight,SG,6-4,190,"September 18, 2000",us US,R,UConn,CHO,2022
0,Miles Bridges,PF,6-7,225,"March 21, 1998",us US,3,Michigan State,CHO,2022
22,Vernon Carey Jr.,C,6-10,270,"February 25, 2001",us US,1,Duke,CHO,2022
8,Montrezl Harrell,C,6-7,240,"January 26, 1994",us US,6,Louisville,CHO,2022
20,Gordon Hayward,SF,6-7,225,"March 23, 1990",us US,11,Butler,CHO,2022
23,Kai Jones,C,6-11,221,"January 19, 2001",bs BS,R,Texas,CHO,2022
98,Arnoldas Kulboka,SF,6-10,220,"January 4, 1998",lt LT,R,,CHO,2022
16,Scottie Lewis,SG,6-4,188,"March 12, 2000",us US,R,Florida,CHO,2022
11,Cody Martin,SF,6-6,205,"September 28, 1995",us US,2,"NC State, Nevada",CHO,2022
6,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us US,2,San Diego State,CHO,2022
12,Kelly Oubre Jr.,SF,6-8,203,"December 9, 1995",us US,6,Kansas,CHO,2022
24,Mason Plumlee,C,7-0,254,"March 5, 1990",us US,8,Duke,CHO,2022
14,Nick Richards,C,6-11,245,"November 29, 1997",jm JM,1,Kentucky,CHO,2022
3,Terry Rozier,SG,6-1,190,"March 17, 1994",us US,6,Louisville,CHO,2022
10,Ish Smith,PG,6-0,175,"July 5, 1988",us US,11,Wake Forest,CHO,2022
4,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us US,10,Washington,CHO,2022
21,JT Thor,PF,6-9,203,"August 26, 2002",us US,R,Auburn,CHO,2022
25,P.J. Washington,C,6-7,230,"August 23, 1998",us US,2,Kentucky,CHO,2022
