G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Dec 23, 2020",9:00p,,Box Score,@,Denver Nuggets,W,OT,124,122,1,0,W 1,,2:36,,SAC,2021
2,"Sat, Dec 26, 2020",10:00p,,Box Score,,Phoenix Suns,W,,106,103,2,0,W 2,,2:13,,SAC,2021
3,"Sun, Dec 27, 2020",9:00p,,Box Score,,Phoenix Suns,L,,100,116,2,1,L 1,,2:04,,SAC,2021
4,"Tue, Dec 29, 2020",10:00p,,Box Score,,Denver Nuggets,W,,125,115,3,1,W 1,,2:14,,SAC,2021
5,"Thu, Dec 31, 2020",7:00p,,Box Score,@,Houston Rockets,L,,119,122,3,2,L 1,3247,2:23,,SAC,2021
6,"Sat, Jan 2, 2021",5:00p,,Box Score,@,Houston Rockets,L,,94,102,3,3,L 2,3065,2:15,,SAC,2021
7,"Mon, Jan 4, 2021",10:00p,,Box Score,@,Golden State Warriors,L,,106,137,3,4,L 3,,2:06,,SAC,2021
8,"Wed, Jan 6, 2021",10:00p,,Box Score,,Chicago Bulls,W,,128,124,4,4,W 1,,2:13,,SAC,2021
9,"Fri, Jan 8, 2021",10:00p,,Box Score,,Toronto Raptors,L,,123,144,4,5,L 1,,2:06,,SAC,2021
10,"Sat, Jan 9, 2021",10:00p,,Box Score,,Portland Trail Blazers,L,,99,125,4,6,L 2,,2:12,,SAC,2021
11,"Mon, Jan 11, 2021",10:00p,,Box Score,,Indiana Pacers,W,,127,122,5,6,W 1,,2:19,,SAC,2021
12,"Wed, Jan 13, 2021",10:00p,,Box Score,,Portland Trail Blazers,L,,126,132,5,7,L 1,,2:15,,SAC,2021
13,"Fri, Jan 15, 2021",10:00p,,Box Score,,Los Angeles Clippers,L,,100,138,5,8,L 2,,2:01,,SAC,2021
14,"Sun, Jan 17, 2021",9:00p,,Box Score,,New Orleans Pelicans,L,,123,128,5,9,L 3,,2:22,,SAC,2021
15,"Wed, Jan 20, 2021",10:00p,,Box Score,@,Los Angeles Clippers,L,,96,115,5,10,L 4,,2:02,,SAC,2021
16,"Fri, Jan 22, 2021",10:00p,,Box Score,,New York Knicks,W,,103,94,6,10,W 1,,2:23,,SAC,2021
17,"Wed, Jan 27, 2021",7:00p,,Box Score,@,Orlando Magic,W,,121,107,7,10,W 2,3216,2:10,,SAC,2021
18,"Fri, Jan 29, 2021",7:30p,,Box Score,@,Toronto Raptors,W,,126,124,8,10,W 3,,2:30,,SAC,2021
19,"Sat, Jan 30, 2021",8:00p,,Box Score,@,Miami Heat,L,,104,105,8,11,L 1,,2:13,,SAC,2021
20,"Mon, Feb 1, 2021",8:00p,,Box Score,@,New Orleans Pelicans,W,,118,109,9,11,W 1,1440,2:17,,SAC,2021
21,"Wed, Feb 3, 2021",10:00p,,Box Score,,Boston Celtics,W,,116,111,10,11,W 2,,2:19,,SAC,2021
22,"Sat, Feb 6, 2021",5:00p,,Box Score,,Denver Nuggets,W,,119,114,11,11,W 3,,2:12,,SAC,2021
23,"Sun, Feb 7, 2021",3:00p,,Box Score,@,Los Angeles Clippers,W,,113,110,12,11,W 4,,2:06,,SAC,2021
24,"Tue, Feb 9, 2021",10:00p,,Box Score,,Philadelphia 76ers,L,,111,119,12,12,L 1,,2:21,,SAC,2021
25,"Fri, Feb 12, 2021",10:00p,,Box Score,,Orlando Magic,L,,112,123,12,13,L 2,,2:01,,SAC,2021
26,"Sun, Feb 14, 2021",10:00p,,Box Score,,Memphis Grizzlies,L,,110,124,12,14,L 3,,2:14,,SAC,2021
27,"Mon, Feb 15, 2021",10:00p,,Box Score,,Brooklyn Nets,L,,125,136,12,15,L 4,,2:02,,SAC,2021
28,"Thu, Feb 18, 2021",10:00p,,Box Score,,Miami Heat,L,,110,118,12,16,L 5,,2:00,,SAC,2021
29,"Sat, Feb 20, 2021",9:00p,,Box Score,@,Chicago Bulls,L,,114,122,12,17,L 6,,2:17,,SAC,2021
30,"Sun, Feb 21, 2021",9:00p,,Box Score,@,Milwaukee Bucks,L,,115,128,12,18,L 7,1800,2:20,,SAC,2021
31,"Tue, Feb 23, 2021",7:30p,,Box Score,@,Brooklyn Nets,L,,118,127,12,19,L 8,324,2:08,,SAC,2021
32,"Thu, Feb 25, 2021",7:30p,,Box Score,@,New York Knicks,L,,121,140,12,20,L 9,1981,2:13,,SAC,2021
33,"Fri, Feb 26, 2021",8:00p,,Box Score,@,Detroit Pistons,W,,110,107,13,20,W 1,,2:35,,SAC,2021
34,"Sun, Feb 28, 2021",10:00p,,Box Score,,Charlotte Hornets,L,,126,127,13,21,L 1,,2:28,,SAC,2021
35,"Wed, Mar 3, 2021",10:00p,,Box Score,,Los Angeles Lakers,W,,123,120,14,21,W 1,,2:18,,SAC,2021
