No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
5,Al-Farouq Aminu,PF,6-9,220,"September 21, 1990",us US,10,Wake Forest,CHI,2021
51,Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",us US,3,Villanova,CHI,2021
7,Troy Brown Jr.,SF,6-7,215,"July 28, 1999",us US,2,Oregon,CHI,2021
34,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us US,2,Duke,CHI,2021
3,Devon Dotson,PG,6-1,185,"August 2, 1999",us US,R,Kansas,CHI,2021
6,Cristiano FelÃ­cio,C,6-11,270,"July 7, 1992",br BR,5,,CHI,2021
12,Daniel Gafford,C,6-10,265,"October 1, 1998",us US,1,Arkansas,CHI,2021
11,Javonte Green,SG,6-5,205,"July 23, 1993",us US,1,Radford,CHI,2021
15,Chandler Hutchison,SF,6-6,210,"April 26, 1996",us US,2,Boise State,CHI,2021
2,Luke Kornet,C,7-1,250,"July 15, 1995",us US,3,Vanderbilt,CHI,2021
8,Zach LaVine,SG,6-5,200,"March 10, 1995",us US,6,UCLA,CHI,2021
24,Lauri Markkanen,PF,7-1,240,"May 22, 1997",fi FI,3,Arizona,CHI,2021
20,Adam Mokoka,SG,6-4,190,"July 18, 1998",fr FR,1,,CHI,2021
22,Otto Porter Jr.,SF,6-8,198,"June 3, 1993",us US,7,Georgetown,CHI,2021
31,TomÃ¡Å¡ SatoranskÃ½,SG,6-7,210,"October 30, 1991",cz CZ,4,,CHI,2021
17,Garrett Temple,SG,6-5,195,"May 8, 1986",us US,10,LSU,CHI,2021
27,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,3,,CHI,2021
45,Denzel Valentine,SG,6-4,220,"November 16, 1993",us US,3,Michigan State,CHI,2021
9,Nikola VuÄeviÄ,C,6-9,260,"October 24, 1990",ch CH,9,USC,CHI,2021
0,Coby White,PG,6-4,195,"February 16, 2000",us US,1,UNC,CHI,2021
"9, 44",Patrick Williams,PF,6-6,215,"August 26, 2001",us US,R,Florida State,CHI,2021
21,Thaddeus Young,PF,6-8,225,"June 21, 1988",us US,13,Georgia Tech,CHI,2021
