No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
37,Kostas Antetokounmpo,PF,6-10,200,"November 20, 1997",gr GR,2,Dayton,LAL,2021
12,Devontae Cacok,PF,6-7,240,"October 8, 1996",us US,1,UNC Wilmington,LAL,2021
1,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us US,7,Georgia,LAL,2021
4,Alex Caruso,PG,6-5,186,"February 28, 1994",us US,3,Texas A&M,LAL,2021
2,Quinn Cook,PG,6-1,180,"March 23, 1993",us US,4,Duke,LAL,2021
3,Anthony Davis,PF,6-10,253,"March 11, 1993",us US,8,Kentucky,LAL,2021
2,Andre Drummond,C,6-11,279,"August 10, 1993",us US,8,UConn,LAL,2021
10,Jared Dudley,PF,6-6,237,"July 10, 1985",us US,13,Boston College,LAL,2021
14,Marc Gasol,C,6-11,255,"January 29, 1985",es ES,12,,LAL,2021
15,Montrezl Harrell,C,6-7,240,"January 26, 1994",us US,5,Louisville,LAL,2021
5,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",us US,1,Iowa State,LAL,2021
23,LeBron James,PG,6-9,250,"December 30, 1984",us US,17,,LAL,2021
30,Damian Jones,C,6-10,245,"June 30, 1995",us US,4,Vanderbilt,LAL,2021
0,Kyle Kuzma,SF,6-8,221,"July 24, 1995",us US,3,Utah,LAL,2021
9,Wesley Matthews,SG,6-5,220,"October 14, 1986",us US,11,Marquette,LAL,2021
28,Alfonzo McKinnie,SF,6-7,215,"September 17, 1992",us US,3,Green Bay,LAL,2021
7,Ben McLemore,SG,6-3,195,"February 11, 1993",us US,7,Kansas,LAL,2021
88,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,9,Kansas,LAL,2021
17,Dennis Schr̦der,SG,6-1,175,"September 15, 1993",de DE,7,,LAL,2021
