Rk,Unnamed: 1,Salary,Team,Season
1,Kevin Love,"$31,258,256",CLE,2021
2,Andre Drummond,"$27,957,238",CLE,2021
3,Taurean Prince,"$12,250,000",CLE,2021
4,Larry Nance,"$11,709,091",CLE,2021
5,Cedi Osman,"$8,840,580",CLE,2021
6,Darius Garland,"$6,720,720",CLE,2021
7,Isaac Okoro,"$6,400,920",CLE,2021
8,Collin Sexton,"$4,991,880",CLE,2021
9,Jarrett Allen,"$3,909,902",CLE,2021
10,Dylan Windler,"$2,137,440",CLE,2021
11,Damyean Dotson,"$2,000,000",CLE,2021
12,Matthew Dellavedova,"$1,620,564",CLE,2021
13,Isaiah Hartenstein,"$1,620,564",CLE,2021
14,Dean Wade,"$1,517,981",CLE,2021
15,J.R. Smith,"$1,456,667",CLE,2021
16,Lamar Stevens,"$652,366",CLE,2021
17,Mfiondu Kabengele,"$356,473",CLE,2021
18,Rayjon Tucker,"$340,000",CLE,2021
19,Thon Maker,"$309,355",CLE,2021
20,Quinn Cook,"$221,996",CLE,2021
21,Anderson Varej̣o,"$144,297",CLE,2021
22,Yogi Ferrell,"$110,998",CLE,2021
23,Jeremiah Martin,$0,CLE,2021
24,Brodric Thomas,$0,CLE,2021
25,Marques Bolden,$0,CLE,2021
