No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
15,Jose Alvarado,PG,6-0,179,"April 12, 1998",us US,3,Georgia Tech,NOP,2025
4,Mo Bamba,C,7-0,231,"May 12, 1998",us US,6,Texas,NOP,2025
11,Brandon Boston Jr.,SG,6-6,188,"November 28, 2001",us US,3,Kentucky,NOP,2025
0,Keion Brooks Jr.,SF,6-7,210,"August 7, 2000",us US,R,"Kentucky, Washington",NOP,2025
00,Bruce Brown,PG,6-4,202,"August 15, 1996",us US,6,Miami (FL),NOP,2025
8,Jamal Cain,SF,6-7,191,"March 20, 1999",us US,2,"Marquette, Oakland",NOP,2025
4,Javonte Green,SG,6-5,205,"July 23, 1993",us US,5,Radford,NOP,2025
24,Jordan Hawkins,SG,6-5,190,"April 29, 2002",us US,1,UConn,NOP,2025
14,Brandon Ingram,SF,6-8,190,"September 2, 1997",us US,8,Duke,NOP,2025
55,Trey Jemison,C,6-10,270,"November 28, 1999",us US,1,"Clemson, UAB",NOP,2025
2,Herbert Jones,SF,6-7,206,"October 6, 1998",us US,3,Alabama,NOP,2025
35,Kylor Kelley,C,7-0,215,"August 26, 1997",us US,R,Oregon State,NOP,2025
17,Karlo MatkoviÄ,PF,6-10,231,"March 30, 2001",ba BA,R,,NOP,2025
3,CJ McCollum,PG,6-3,190,"September 19, 1991",us US,11,Lehigh,NOP,2025
21,Yves Missi,C,6-11,235,"May 14, 2004",be BE,R,Baylor,NOP,2025
25,Trey Murphy III,SF,6-8,206,"June 18, 2000",us US,3,"Rice University, Virginia",NOP,2025
5,Dejounte Murray,PG,6-4,180,"September 19, 1996",us US,7,Washington,NOP,2025
20,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us US,5,Washington,NOP,2025
13,Kelly Olynyk,C,7-0,240,"April 19, 1991",ca CA,11,Gonzaga,NOP,2025
"4, 22",Elfrid Payton,PG,6-3,195,"February 22, 1994",us US,8,Louisiana,NOP,2025
22,Lester QuiÃ±ones,SG,6-5,208,"November 16, 2000",us US,2,Memphis,NOP,2025
12,Antonio Reeves,SG,6-5,205,"November 20, 2000",us US,R,"Illinois State, Kentucky",NOP,2025
50,Jeremiah Robinson-Earl,PF,6-9,240,"November 3, 2000",us US,3,Villanova,NOP,2025
10,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,7,,NOP,2025
1,Zion Williamson,PF,6-6,284,"July 6, 2000",us US,4,Duke,NOP,2025
