Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Isaac Okoro,20.0,SG,67,67,2173,3,45,51,2,0,-8.9,-1.2,41,27,96,8,83,14,318,21,53,,CLE,2021
2.0,Collin Sexton,22.0,SG,60,60,2115,42,57,0,0,0,-9.2,-1.9,64,59,58,22,163,22,623,39,97,,CLE,2021
3.0,Darius Garland,21.0,PG,54,50,1790,100,0,0,0,0,-6.5,3.9,98,29,47,10,46,19,747,10,36,,CLE,2021
4.0,Jarrett Allen,22.0,C,51,40,1544,0,0,0,6,94,-9.3,-1.7,37,19,49,10,96,9,207,17,31,,CLE,2021
5.0,Cedi Osman,25.0,SF,59,26,1510,1,13,75,12,0,-10.5,-3.8,52,19,54,3,41,14,415,10,33,,CLE,2021
6.0,Dean Wade,24.0,PF,63,19,1212,0,0,12,74,14,-9.8,-2.1,17,10,55,1,14,5,176,6,9,,CLE,2021
7.0,Larry Nance Jr.,28.0,PF,35,27,1091,0,1,13,84,2,-6.5,2.8,29,14,34,7,17,5,256,1,12,,CLE,2021
8.0,Damyean Dotson,26.0,SG,46,7,907,33,47,20,1,0,-11.9,-4.8,25,9,21,4,17,2,215,3,14,,CLE,2021
9.0,Andre Drummond,27.0,C,25,25,722,0,0,0,5,95,-7.3,1.4,40,24,28,10,67,7,142,17,50,,CLE,2021
10.0,Taurean Prince,26.0,PF,29,6,687,0,1,39,60,0,-6.1,2.8,20,8,30,3,20,8,156,5,12,,CLE,2021
11.0,Kevin Love,32.0,PF,25,25,622,0,0,0,79,22,-5.0,4.1,26,11,14,0,19,1,146,4,12,,CLE,2021
12.0,Dylan Windler,24.0,SF,31,0,513,0,46,43,11,0,-5.4,3.6,21,7,20,2,11,2,80,2,7,,CLE,2021
13.0,JaVale McGee,33.0,C,33,1,503,0,0,0,0,100,-9.2,-0.9,22,5,38,11,24,2,77,5,10,,CLE,2021
14.0,Lamar Stevens,23.0,PF,40,0,499,0,9,39,50,2,-8.4,0.0,12,8,38,0,22,2,63,3,12,,CLE,2021
15.0,Brodric Thomas,24.0,SG,28,1,375,19,72,9,0,0,-7.0,1.5,8,7,22,2,16,2,62,1,7,,CLE,2021
16.0,Isaiah Hartenstein,22.0,C,16,2,287,0,0,0,0,100,-5.7,2.9,9,4,21,6,15,3,90,3,7,,CLE,2021
17.0,Matthew Dellavedova,30.0,PG,13,1,224,73,27,0,0,0,-2.7,6.1,5,1,7,0,1,1,140,0,5,,CLE,2021
18.0,Mfiondu Kabengele,23.0,PF,16,0,186,0,0,0,22,78,-17.0,-9.1,4,3,12,1,8,0,28,2,2,,CLE,2021
19.0,Dant̩ Exum,25.0,SG,6,3,116,3,45,52,0,0,4.5,13.4,4,1,4,0,1,4,26,0,0,,CLE,2021
20.0,Quinn Cook,27.0,PG,7,0,95,100,0,0,0,0,-2.1,6.5,4,0,5,0,2,0,32,1,5,,CLE,2021
21.0,Thon Maker,23.0,C,8,0,76,0,0,7,44,49,-9.4,-1.0,1,0,3,2,5,0,9,1,1,,CLE,2021
22.0,Jeremiah Martin,24.0,PG,9,0,75,100,0,0,0,0,-21.7,-13.6,3,2,0,0,2,1,10,0,5,,CLE,2021
23.0,Yogi Ferrell,27.0,PG,2,0,40,100,0,0,0,0,-12.0,-3.6,1,0,1,1,1,1,11,1,2,,CLE,2021
24.0,Anderson Varej̣o,38.0,C,5,0,36,0,0,0,0,100,-41.2,-33.2,0,1,3,0,3,0,8,1,3,,CLE,2021
25.0,Marques Bolden,22.0,C,6,0,29,0,0,0,85,15,8.9,17.5,0,1,0,0,0,0,0,0,0,,CLE,2021
,Team Totals,,,72,72,17427,20,20,20,20,20,-8.4,-0.2,543,269,660,103,694,124,4037,153,425,,CLE,2021
