No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
7,Patrick Baldwin Jr.,SF,7-0,220,"November 18, 2002",us US,R,UW-Milwaukee,GSW,2023
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us US,13,Davidson,GSW,2023
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,4,Villanova,GSW,2023
23,Draymond Green,PF,6-6,230,"March 4, 1990",us US,10,Michigan State,GSW,2023
1,JaMychal Green,PF,6-9,227,"June 21, 1990",us US,8,Alabama,GSW,2023
9,Andre Iguodala,PF,6-6,215,"January 28, 1984",us US,18,Arizona,GSW,2023
10,Ty Jerome,SG,6-5,195,"July 8, 1997",us US,3,Virginia,GSW,2023
0,Jonathan Kuminga,PF,6-7,225,"October 6, 2002",cd CD,1,,GSW,2023
40,Anthony Lamb,SF,6-6,227,"January 20, 1998",us US,2,University of Vermont,GSW,2023
5,Kevon Looney,C,6-9,222,"February 6, 1996",us US,7,UCLA,GSW,2023
4,Moses Moody,SG,6-5,211,"May 31, 2002",us US,1,Arkansas,GSW,2023
8,Gary Payton II,SG,6-2,195,"December 1, 1992",us US,6,Oregon State,GSW,2023
3,Jordan Poole,PG,6-4,194,"June 19, 1999",us US,3,Michigan,GSW,2023
25,Lester Qui̱ones,SG,6-5,208,"November 16, 2000",us US,R,Memphis,GSW,2023
2,Ryan Rollins,PG,6-3,180,"July 3, 2002",us US,R,Toledo,GSW,2023
11,Klay Thompson,SF,6-5,220,"February 8, 1990",us US,9,Washington State,GSW,2023
22,Andrew Wiggins,SF,6-6,197,"February 23, 1995",ca CA,8,Kansas,GSW,2023
33,James Wiseman,C,6-11,240,"March 31, 2001",us US,1,Memphis,GSW,2023
