No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
3.0,Keldon Johnson,SF,6-6,220,"October 11, 1999",us US,6,Kentucky,SAS,2026
30.0,Julian Champagnie,SF,6-7,217,"June 29, 2001",us US,3,St. John's,SAS,2026
40.0,Harrison Barnes,PF,6-7,225,"May 30, 1992",us US,13,UNC,SAS,2026
4.0,De'Aaron Fox,PG,6-3,185,"December 20, 1997",us US,8,Kentucky,SAS,2026
11.0,Carter Bryant,PF,6-6,220,"November 26, 2005",us US,R,Arizona,SAS,2026
2.0,Dylan Harper,SG,6-5,215,"March 2, 2006",us US,R,Rutgers University,SAS,2026
5.0,Stephon Castle,PG,6-6,215,"November 1, 2004",us US,1,UConn,SAS,2026
7.0,Luke Kornet,C,7-1,250,"July 15, 1995",us US,8,Vanderbilt,SAS,2026
24.0,Devin Vassell,SG,6-5,200,"August 23, 2000",us US,5,Florida State,SAS,2026
1.0,Victor Wembanyama,C,7-4,235,"January 4, 2004",fr FR,2,,SAS,2026
0.0,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",us US,6,USC,SAS,2026
8.0,Kelly Olynyk,C,7-0,240,"April 19, 1991",ca CA,12,Gonzaga,SAS,2026
43.0,Lindy Waters III,SG,6-5,210,"July 28, 1997",us US,4,Oklahoma State,SAS,2026
18.0,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,14,,SAS,2026
25.0,David Jones GarcÃ­a (TW),SF,6-4,210,"November 24, 2001",do DO,R,"DePaul, St. John's, Memphis",SAS,2026
55.0,Harrison Ingram (TW),SF,6-5,230,"November 27, 2002",us US,1,"Stanford, UNC",SAS,2026
45.0,Mason Plumlee,C,7-0,254,"March 5, 1990",us US,12,Duke,SAS,2026
,Emanuel Miller (TW),PF,6-5,215,"June 19, 2000",ca CA,1,"Texas A&M, TCU",SAS,2026
