Rk,Unnamed: 1,Salary,Team,Season
1,Anfernee Simons,"$27,678,571",CHI,2026
2,Josh Giddey,"$25,000,000",CHI,2026
3,Collin Sexton,"$18,975,000",CHI,2026
4,Zach Collins,"$18,080,496",CHI,2026
5,Patrick Williams,"$18,000,000",CHI,2026
6,Isaac Okoro,"$11,000,000",CHI,2026
7,Jaden Ivey,"$10,107,163",CHI,2026
8,Jalen Smith,"$9,000,000",CHI,2026
9,Tre Jones,"$8,000,000",CHI,2026
10,Jevon Carter,"$6,809,524",CHI,2026
11,Rob Dillingham,"$6,576,120",CHI,2026
12,Guerschon Yabusele,"$5,500,000",CHI,2026
13,Matas Buzelis,"$5,455,560",CHI,2026
14,Noa Essengue,"$5,429,520",CHI,2026
15,Nick Richards,"$5,000,000",CHI,2026
16,Leonard Miller,"$2,221,677",CHI,2026
