No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
0,Ty-Shon Alexander,SG,6-3,195,"July 16, 1998",us US,R,Creighton,PHO,2021
22,Deandre Ayton,C,7-0,252,"July 23, 1998",bs BS,2,Arizona,PHO,2021
1,Devin Booker,SG,6-5,206,"October 30, 1996",us US,5,Kentucky,PHO,2021
25,Mikal Bridges,SF,6-6,209,"August 30, 1996",us US,2,Villanova,PHO,2021
4,Jevon Carter,PG,6-0,200,"September 14, 1995",us US,2,West Virginia,PHO,2021
12,Torrey Craig,SF,6-5,221,"December 19, 1990",us US,3,USC Upstate,PHO,2021
99,Jae Crowder,PF,6-6,235,"July 6, 1990",us US,8,Marquette,PHO,2021
2,Langston Galloway,SG,6-1,200,"December 9, 1991",us US,6,Saint Joseph's,PHO,2021
23,Cameron Johnson,PF,6-8,210,"March 3, 1996",us US,1,"Pitt, UNC",PHO,2021
30,Damian Jones,C,6-10,245,"June 30, 1995",us US,4,Vanderbilt,PHO,2021
8,Frank Kaminsky,C,7-0,240,"April 4, 1993",us US,5,Wisconsin,PHO,2021
55,E'Twaun Moore,SG,6-3,191,"February 25, 1989",us US,9,Purdue,PHO,2021
11,Abdel Nader,SF,6-5,225,"September 25, 1993",eg EG,3,"Northern Illinois, Iowa State",PHO,2021
3,Chris Paul,PG,6-0,175,"May 6, 1985",us US,15,Wake Forest,PHO,2021
15,Cameron Payne,PG,6-2,183,"August 8, 1994",us US,5,Murray State,PHO,2021
20,Dario Å ariÄ,C,6-10,225,"April 8, 1994",hr HR,4,,PHO,2021
10,Jalen Smith,PF,6-8,215,"March 16, 2000",us US,R,Maryland,PHO,2021
