Rk,Unnamed: 1,Salary,Team,Season
1,Brandon Ingram,"$36,016,200",TOR,2025
2,Immanuel Quickley,"$32,500,000",TOR,2025
3,RJ Barrett,"$25,794,643",TOR,2025
4,Jakob Poeltl,"$19,500,000",TOR,2025
5,P.J. Tucker,"$11,539,000",TOR,2025
6,Chris Boucher,"$10,810,000",TOR,2025
7,Scottie Barnes,"$10,130,980",TOR,2025
8,Gradey Dick,"$4,763,760",TOR,2025
9,Ochai Agbaji,"$4,310,280",TOR,2025
10,Ja'Kobe Walter,"$3,465,000",TOR,2025
11,James Wiseman,"$2,237,691",TOR,2025
12,Garrett Temple,"$2,087,519",TOR,2025
13,Jamal Shead,"$1,862,265",TOR,2025
14,Jonathan Mogbo,"$1,862,265",TOR,2025
15,Bruno Fernando,"$1,115,128",TOR,2025
16,Jamison Battle,"$1,000,000",TOR,2025
17,Orlando Robinson,"$491,887",TOR,2025
18,Cole Swider,"$119,972",TOR,2025
19,Eugene Omoruyi,"$119,972",TOR,2025
20,Orlando Robinson,"$119,972",TOR,2025
21,Orlando Robinson,"$119,972",TOR,2025
22,Jared Rhoden,"$119,972",TOR,2025
23,Cole Swider,"$107,975",TOR,2025
24,Colin Castleton,"$107,027",TOR,2025
25,Colin Castleton,"$107,027",TOR,2025
26,A.J. Lawson,"$100,000",TOR,2025
27,Colin Castleton,"$100,000",TOR,2025
28,Javon Freeman-Liberty,"$100,000",TOR,2025
29,Jared Rhoden,,TOR,2025
30,Orlando Robinson,,TOR,2025
31,A.J. Lawson,,TOR,2025
32,D.J. Carton,,TOR,2025
33,Jamison Battle,,TOR,2025
34,Ulrich Chomche,,TOR,2025
35,Branden Carlson,,TOR,2025
