Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,37,45,41,41,-0.12,0.11,-0.01,110.4,110.5,95.9,0.28,0.428,0.513,12.0,25.1,0.208,0.521,11.7,78.8,0.198,Madison Square Garden (IV),763484,NYK,2022
Lg Rank,19,12,19,19,19.0,10.0,19.0,22.0,11.0,29.0,3.0,7.0,26.0,11.0,6.0,2.0,8.0,24.0,1.0,19.0,,7,NYK,2022
