No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
34,Giannis Antetokounmpo,PF,6-11,243,"December 6, 1994",gr GR,11,,MIL,2025
3,MarJon Beauchamp,SF,6-7,199,"October 12, 2000",us US,2,Yakima Valley Community College,MIL,2025
15,Jamaree Bouyea,PG,6-2,180,"June 27, 1999",us US,2,San Francisco,MIL,2025
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",us US,9,Notre Dame,MIL,2025
20,A.J. Green,SG,6-4,190,"September 27, 1999",us US,2,University of Northern Iowa,MIL,2025
44,Andre Jackson Jr.,SG,6-6,209,"November 13, 2001",us US,1,UConn,MIL,2025
77,AJ Johnson,SG,6-5,160,"December 1, 2004",us US,R,,MIL,2025
18,Kyle Kuzma,PF,6-8,221,"July 24, 1995",us US,7,Utah,MIL,2025
0,Damian Lillard,PG,6-2,200,"July 15, 1990",us US,12,Weber State,MIL,2025
7,Chris Livingston,SF,6-6,220,"October 15, 2003",us US,1,Kentucky,MIL,2025
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,16,Stanford,MIL,2025
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,12,Texas A&M,MIL,2025
35,Pete Nance,PF,6-9,225,"February 19, 2000",us US,1,"Northwestern, UNC",MIL,2025
3,Kevin Porter Jr.,SG,6-5,203,"May 4, 2000",us US,4,USC,MIL,2025
9,Bobby Portis,PF,6-9,250,"February 10, 1995",us US,9,Arkansas,MIL,2025
12,Taurean Prince,SF,6-6,218,"March 22, 1994",us US,8,Baylor,MIL,2025
15,Liam Robbins,C,7-0,250,"July 12, 1999",us US,R,"Drake University, Minnesota, Vanderbilt",MIL,2025
13,Ryan Rollins,PG,6-3,180,"July 3, 2002",us US,2,Toledo,MIL,2025
0,Jericho Sims,C,6-10,250,"October 20, 1998",us US,3,Texas,MIL,2025
21,Tyler Smith,PF,6-9,224,"November 2, 2004",us US,R,,MIL,2025
5,Gary Trent Jr.,SG,6-5,204,"January 18, 1999",us US,6,Duke,MIL,2025
17,Stanley Umude,SG,6-6,210,"April 12, 1999",us US,2,"South Dakota, Arkansas",MIL,2025
55,Delon Wright,PG,6-4,185,"April 26, 1992",us US,9,Utah,MIL,2025
