Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Season
1,Nickeil Alexander-Walker,SG,27,ATL,6,213,7.7,.528,.606,.211,1.5,6.5,3.8,11.9,0.7,2.1,18.0,19.7,,-0.2,-0.1,-0.4,-0.083,,-1.7,-2.2,-3.9,-0.1,2026
2,Grayson Allen,SG,30,PHO,2,38,19.4,.644,.846,.308,2.9,9.2,6.0,16.3,0.0,5.1,0.0,16.8,,0.2,0.0,0.1,.137,,6.1,-0.8,5.3,0.1,2026
3,Jarrett Allen,C,27,CLE,18,529,20.6,.640,.000,.693,12.7,16.1,14.4,6.0,1.7,5.2,8.7,16.3,,1.4,0.5,2.0,.179,,2.7,1.1,3.7,0.8,2026
4,Jose Alvarado,PG,27,NYK,14,121,17.6,.606,.510,.061,0.0,14.5,7.8,17.8,4.1,1.8,15.2,21.6,,0.1,0.3,0.4,.176,,-0.7,4.3,3.6,0.2,2026
5,Kyle Anderson,SF,32,MIN,8,61,6.3,.365,.059,.471,3.3,9.2,6.1,33.6,1.6,0.0,22.6,18.1,,-0.1,0.0,-0.1,-0.077,,-3.8,1.3,-2.6,0.0,2026
6,OG Anunoby,PF,28,NYK,13,437,24.1,.716,.430,.423,4.1,18.0,11.6,7.5,2.3,3.2,3.8,18.5,,1.9,1.0,2.9,.319,,5.3,3.8,9.0,1.2,2026
7,Deni Avdija,SF,25,POR,5,174,16.3,.562,.256,.603,1.8,19.0,9.7,24.3,0.6,1.6,14.7,28.7,,0.1,0.0,0.2,.048,,1.8,0.2,2.1,0.2,2026
8,Deandre Ayton,C,27,LAL,10,285,14.8,.557,.000,.155,16.3,24.5,20.5,5.3,0.4,2.6,12.7,16.4,,0.3,0.3,0.6,.093,,-0.9,-1.7,-2.6,0.0,2026
9,Paolo Banchero,PF,23,ORL,7,273,20.1,.524,.294,.517,3.4,22.3,12.5,34.2,1.8,1.7,12.0,31.8,,0.1,0.5,0.6,.109,,4.2,2.3,6.5,0.6,2026
10,Desmond Bane,SG,27,ORL,7,253,13.6,.535,.527,.182,4.1,10.3,7.1,9.9,2.6,0.7,8.5,22.3,,0.1,0.4,0.5,.087,,1.2,0.8,2.0,0.3,2026
11,Dalano Banton,PG,26,BOS,2,4,19.6,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,,0.0,0.0,0.0,.186,,3.7,2.9,6.7,0.0,2026
12,Dominick Barlow,PF,22,PHI,9,96,12.2,.647,.059,.412,7.1,10.9,9.0,1.6,1.1,4.5,9.1,10.5,,0.2,0.0,0.2,.080,,-1.3,0.5,-0.8,0.0,2026
13,Harrison Barnes,PF,33,SAS,19,178,8.2,.495,.667,.436,10.1,5.8,7.8,3.7,0.6,0.5,9.7,12.4,,0.1,0.2,0.3,.080,,-1.8,-0.9,-2.8,0.0,2026
14,Scottie Barnes,PF,24,TOR,7,273,22.9,.605,.181,.466,4.5,13.7,9.0,36.0,1.4,4.7,14.7,25.7,,0.8,0.2,1.0,.174,,4.2,3.8,8.1,0.7,2026
15,RJ Barrett,SF,25,TOR,7,271,16.5,.563,.333,.311,5.8,15.1,10.4,17.4,1.6,0.8,14.3,27.7,,0.1,0.2,0.3,.058,,0.8,0.0,0.8,0.2,2026
16,Jamison Battle,SF,24,TOR,6,71,13.5,.763,.579,.000,4.8,13.2,8.9,2.1,0.0,0.0,5.0,12.1,,0.2,0.0,0.2,.124,,1.1,-0.7,0.4,0.0,2026
17,Joan Beringer,PF,19,MIN,5,23,31.2,.639,.000,.889,22.2,29.3,25.6,0.0,4.2,8.0,19.3,28.0,,0.0,0.1,0.1,.209,,5.3,1.6,6.8,0.1,2026
18,Goga Bitadze,C,26,ORL,6,83,12.8,.470,.000,.467,16.3,14.9,15.7,3.9,1.2,11.2,18.1,11.6,,0.0,0.2,0.2,.100,,-3.7,1.7,-2.0,0.0,2026
19,Bismack Biyombo,C,33,SAS,9,25,2.2,.429,.000,.000,4.5,8.2,6.4,0.0,0.0,7.0,22.2,15.4,,-0.1,0.0,0.0,-0.062,,-9.4,-0.1,-9.5,0.0,2026
20,Anthony Black,PG,22,ORL,7,196,10.5,.474,.407,.389,1.1,11.5,6.1,8.7,3.9,2.4,7.3,15.2,,-0.1,0.4,0.3,.073,,-3.0,2.9,-0.1,0.1,2026
21,Adem Bona,C,22,PHI,10,96,6.5,.564,.000,1.000,13.1,12.1,12.6,1.5,0.5,7.9,32.3,16.2,,-0.1,0.0,-0.1,-0.046,,-9.4,0.4,-9.0,-0.2,2026
22,Devin Booker,SG,29,PHO,4,153,14.1,.564,.317,.444,7.3,5.3,6.3,20.3,0.3,0.6,17.5,25.8,,0.1,-0.2,-0.1,-0.028,,1.3,-3.5,-2.2,0.0,2026
23,Jamaree Bouyea,PG,26,PHO,4,10,25.2,.512,.000,.500,11.2,23.3,17.1,16.6,5.0,0.0,0.0,21.1,,0.0,0.0,0.0,.141,,5.7,5.7,11.4,0.0,2026
24,Tony Bradley,C,28,ATL,4,41,16.8,.828,.250,1.500,2.6,30.7,15.6,10.6,2.4,6.6,13.1,8.3,,0.1,0.0,0.1,.164,,-0.5,5.4,4.9,0.1,2026
25,Christian Braun,SG,24,DEN,6,187,9.6,.564,.389,.528,1.2,11.3,6.3,7.9,1.6,2.2,8.3,11.4,,0.1,0.1,0.2,.063,,-1.3,0.4,-1.0,0.0,2026
26,Mikal Bridges,SF,29,NYK,15,472,16.7,.661,.291,.152,1.9,9.0,5.7,11.4,1.9,0.9,8.5,16.4,,1.2,0.8,2.0,.203,,0.9,2.1,2.9,0.6,2026
27,Dillon Brooks,SF,30,PHO,4,149,17.8,.576,.376,.141,3.7,14.8,9.2,8.7,0.3,0.6,6.2,28.0,,0.3,-0.2,0.1,.045,,2.7,-1.9,0.9,0.1,2026
28,Johni Broome,C,23,PHI,2,8,32.1,.583,.667,.000,14.3,14.5,14.4,31.3,0.0,0.0,0.0,34.3,,0.0,0.0,0.0,.175,,11.7,-3.2,8.5,0.0,2026
29,Bruce Brown,SG,29,DEN,6,116,9.2,.501,.324,.265,2.9,12.4,7.7,13.7,4.2,0.0,19.2,17.9,,-0.2,0.2,0.0,-0.008,,-4.4,2.0,-2.4,0.0,2026
30,Jaylen Brown,SF,29,BOS,7,249,18.6,.551,.294,.322,4.7,13.0,8.8,17.3,1.2,2.9,13.3,33.4,,0.1,0.3,0.4,.078,,2.7,0.3,2.9,0.3,2026
31,Jalen Brunson,PG,29,NYK,15,543,21.8,.578,.312,.293,1.4,7.2,4.6,27.8,1.2,0.0,9.3,31.4,,1.7,0.8,2.5,.217,,4.0,-0.6,3.4,0.7,2026
32,Carter Bryant,PF,20,SAS,18,169,8.4,.586,.675,.150,6.0,15.8,11.1,12.4,0.6,2.6,22.0,13.8,,0.0,0.2,0.3,.083,,-3.3,2.4,-0.9,0.0,2026
33,Thomas Bryant,C,28,CLE,9,41,9.4,.381,.571,.143,8.6,23.1,15.8,7.9,2.5,2.1,8.2,26.1,,-0.1,0.1,0.0,-0.043,,-3.7,-2.1,-5.8,0.0,2026
34,Jamal Cain,SF,26,ORL,7,123,7.2,.473,.414,.379,5.9,15.6,10.6,5.5,0.8,2.3,12.9,13.8,,-0.1,0.2,0.1,.028,,-3.8,-0.2,-4.0,-0.1,2026
35,Toumani Camara,PF,25,POR,5,165,6.5,.431,.711,.158,5.1,14.1,9.2,5.4,2.1,1.6,14.7,12.5,,-0.2,0.1,-0.1,-0.019,,-3.9,0.4,-3.4,-0.1,2026
36,Clint Capela,C,31,HOU,4,22,12.4,.375,.000,.000,24.6,11.7,18.7,7.8,0.0,4.4,11.1,18.1,,0.0,0.0,0.0,.013,,-3.0,-3.9,-6.9,0.0,2026
37,Jevon Carter,PG,30,ORL,3,17,7.6,.250,.500,.000,6.1,6.6,6.4,18.6,3.0,0.0,0.0,10.2,,0.0,0.0,0.0,.016,,-2.5,0.1,-2.4,0.0,2026
38,Wendell Carter Jr.,C,26,ORL,7,237,15.0,.625,.375,.646,8.8,13.8,11.2,14.4,0.8,4.7,14.0,13.2,,0.4,0.3,0.8,.155,,0.2,2.4,2.6,0.3,2026
39,Alex Caruso,SG,31,OKC,15,353,17.6,.650,.643,.235,2.0,12.5,7.4,12.6,3.0,2.0,9.9,17.5,,0.8,0.4,1.2,.168,,1.8,3.6,5.4,0.6,2026
40,Stephon Castle,PG,21,SAS,19,637,17.9,.603,.339,.446,5.1,11.0,8.2,30.2,1.4,1.0,18.5,24.7,,1.3,0.8,2.1,.160,,1.9,0.8,2.7,0.8,2026
41,Julian Champagnie,SF,24,SAS,19,579,14.9,.628,.779,.160,3.7,16.9,10.6,6.9,2.0,1.7,4.9,13.5,,1.2,1.0,2.2,.183,,2.3,2.6,4.9,1.0,2026
42,Sidy Cissoko,SF,21,POR,4,26,17.6,.527,.500,.100,8.1,14.1,10.9,6.5,7.7,0.0,8.7,19.0,,0.0,0.0,0.1,.117,,0.1,6.6,6.7,0.1,2026
43,Jaylen Clark,SG,24,MIN,6,57,5.2,.388,.667,.167,3.6,9.8,6.6,6.8,0.8,1.6,0.0,9.4,,0.0,0.0,0.0,.025,,-3.8,0.6,-3.2,0.0,2026
44,Jordan Clarkson,SG,33,NYK,15,171,11.4,.533,.226,.306,11.9,6.4,8.9,8.1,0.9,0.6,14.6,21.2,,0.1,0.2,0.3,.098,,-3.1,-1.0,-4.1,-0.1,2026
45,Donovan Clingan,C,21,POR,5,107,10.8,.366,.543,.087,13.7,28.6,20.6,16.7,0.5,2.5,5.9,20.5,,-0.1,0.1,0.0,-0.015,,-1.7,-1.0,-2.7,0.0,2026
46,Amir Coffey,SG,28,PHO,4,6,-17.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.4,,-0.1,0.0,-0.1,-0.569,,-17.2,-6.7,-23.9,0.0,2026
47,Mike Conley,PG,38,MIN,12,168,14.9,.682,.684,.053,0.6,9.4,4.8,26.6,2.3,0.0,11.4,10.8,,0.4,0.1,0.6,.158,,1.5,4.1,5.6,0.3,2026
