Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,48,34,47,35,2.65,-0.35,2.3,119.4,116.8,100.3,0.284,0.423,0.572,12.0,22.7,0.225,0.563,12.6,77.2,0.203,Golden 1 Center,715491,SAC,2023
Lg Rank,7,24,8,8,8.0,30.0,8.0,1.0,25.0,12.0,9.0,5.0,2.0,9.0,22.0,7.0,27.0,13.0,7.0,10.0,,20,SAC,2023
