No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
0,Jeremiah Fears,PG,6-3,190,"October 14, 2006",us US,R,Oklahoma,NOP,2026
22,Derik Queen,C,6-9,250,"December 27, 2004",us US,R,Maryland,NOP,2026
41,Saddiq Bey,SF,6-8,215,"April 9, 1999",us US,4,Villanova,NOP,2026
25,Trey Murphy III,SF,6-8,206,"June 18, 2000",us US,4,"Rice University, Virginia",NOP,2026
21,Yves Missi,C,6-11,235,"May 14, 2004",be BE,1,Baylor,NOP,2026
1,Zion Williamson,PF,6-6,284,"July 6, 2000",us US,5,Duke,NOP,2026
17,Karlo MatkoviÄ,PF,6-10,231,"March 30, 2001",ba BA,1,,NOP,2026
14,Micah Peavy,SG,6-7,215,"July 16, 2001",us US,R,"Texas Tech, TCU, Georgetown",NOP,2026
2,Herbert Jones,SF,6-7,206,"October 6, 1998",us US,4,Alabama,NOP,2026
24,Jordan Hawkins,SG,6-5,190,"April 29, 2002",us US,2,UConn,NOP,2026
11,Bryce McGowens,SG,6-6,190,"November 8, 2002",us US,3,Nebraska,NOP,2026
3,Jordan Poole,PG,6-4,194,"June 19, 1999",us US,6,Michigan,NOP,2026
55,Kevon Looney,C,6-9,222,"February 6, 1996",us US,10,UCLA,NOP,2026
5,Dejounte Murray,PG,6-4,180,"September 19, 1996",us US,8,Washington,NOP,2026
"6, 9",DeAndre Jordan,C,6-11,265,"July 21, 1988",us US,17,Texas A&M,NOP,2026
23,Trey Alexander (TW),SG,6-5,185,"May 2, 2003",us US,1,Creighton,NOP,2026
4,Hunter Dickinson (TW),C,7-1,255,"November 25, 2000",us US,R,"Michigan, Kansas",NOP,2026
13,Josh Oduro (TW),PF,6-9,240,"October 14, 2000",us US,R,"George Mason, Providence",NOP,2026
