Rk,Unnamed: 1,Salary,Team,Season
1,Jayson Tatum,"$30,351,780",BOS,2023
2,Jaylen Brown,"$28,741,071",BOS,2023
3,Al Horford,"$26,500,000",BOS,2023
4,Malcolm Brogdon,"$22,600,000",BOS,2023
5,Marcus Smart,"$17,457,142",BOS,2023
6,Derrick White,"$16,892,857",BOS,2023
7,Robert Williams,"$10,937,502",BOS,2023
8,Danilo Gallinari,"$6,479,000",BOS,2023
9,Grant Williams,"$4,306,281",BOS,2023
10,Mike Muscala,"$3,500,000",BOS,2023
11,Payton Pritchard,"$2,239,200",BOS,2023
12,Luke Kornet,"$2,133,278",BOS,2023
13,Blake Griffin,"$1,836,090",BOS,2023
14,Sam Hauser,"$1,637,966",BOS,2023
15,Demetrius Jackson,"$92,857",BOS,2023
16,Justin Champagnie,"$28,241",BOS,2023
17,JD Davison,,BOS,2023
18,Mfiondu Kabengele,,BOS,2023
