No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
8,Deni Avdija,SF,6-8,228,"January 3, 2001",il IL,3,,WAS,2024
35,Marvin Bagley III,C,6-10,235,"March 14, 1999",us US,5,Duke,WAS,2024
7,Patrick Baldwin Jr.,SF,7-0,220,"November 18, 2002",us US,1,UW-Milwaukee,WAS,2024
14,Jules Bernard,SG,6-6,210,"January 21, 2000",us US,R,UCLA,WAS,2024
4,Jared Butler,SG,6-3,193,"August 25, 2000",us US,2,Baylor,WAS,2024
9,Justin Champagnie,SF,6-6,206,"June 29, 2001",us US,2,Pitt,WAS,2024
0,Bilal Coulibaly,SF,6-7,195,"July 26, 2004",fr FR,R,,WAS,2024
1,Johnny Davis,SG,6-4,195,"February 27, 2002",us US,1,Wisconsin,WAS,2024
9,Hamidou Diallo,SG,6-5,202,"July 31, 1998",us US,5,Kentucky,WAS,2024
21,Daniel Gafford,C,6-10,265,"October 1, 1998",us US,4,Arkansas,WAS,2024
88,Danilo Gallinari,PF,6-10,236,"August 8, 1988",it IT,13,,WAS,2024
16,Anthony Gill,PF,6-7,230,"October 17, 1992",us US,3,"South Carolina, Virginia",WAS,2024
22,Richaun Holmes,PF,6-9,235,"October 15, 1993",us US,8,Bowling Green,WAS,2024
50,Trey Jemison,C,6-10,270,"November 28, 1999",us US,R,"Clemson, UAB",WAS,2024
5,Tyus Jones,PG,6-0,196,"May 10, 1996",us US,8,Duke,WAS,2024
24,Corey Kispert,SF,6-6,224,"March 3, 1999",us US,2,Gonzaga,WAS,2024
33,Kyle Kuzma,PF,6-8,221,"July 24, 1995",us US,6,Utah,WAS,2024
35,Mike Muscala,C,6-10,240,"July 1, 1991",us US,10,Bucknell,WAS,2024
97,Eugene Omoruyi,SF,6-6,235,"February 14, 1997",ng NG,2,"Rutgers University, Oregon",WAS,2024
13,Jordan Poole,SG,6-4,194,"June 19, 1999",us US,4,Michigan,WAS,2024
9,Ryan Rollins,PG,6-3,180,"July 3, 2002",us US,1,Toledo,WAS,2024
20,Landry Shamet,SG,6-5,190,"March 13, 1997",us US,5,Wichita State,WAS,2024
0,Tristan Vukcevic,C,7-0,220,"March 11, 2003",it IT,R,,WAS,2024
55,Delon Wright,PG,6-4,185,"April 26, 1992",us US,8,Utah,WAS,2024
