No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
11,Bruce Brown,SG,6-4,202,"August 15, 1996",us US,7,Miami (FL),DEN,2026
10,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us US,12,Michigan,DEN,2026
27,Jamal Murray,PG,6-4,215,"February 23, 1997",ca CA,8,Kentucky,DEN,2026
15,Nikola JokiÄ,C,6-11,284,"February 19, 1995",rs RS,10,,DEN,2026
17,Jonas ValanÄiÅ«nas,C,6-11,265,"May 6, 1992",lt LT,13,,DEN,2026
21,Spencer Jones,SF,6-7,225,"June 14, 2001",us US,1,Stanford,DEN,2026
3,Julian Strawther,SG,6-6,205,"April 18, 2002",us US,2,Gonzaga,DEN,2026
8,Peyton Watson,SF,6-8,200,"September 11, 2002",us US,3,UCLA,DEN,2026
23,Cameron Johnson,SF,6-8,210,"March 3, 1996",us US,6,"Pitt, UNC",DEN,2026
22,Zeke Nnaji,PF,6-10,240,"January 9, 2001",us US,5,Arizona,DEN,2026
24,Jalen Pickett,SG,6-2,202,"October 22, 1999",us US,2,"Siena College, Penn State",DEN,2026
0,Christian Braun,SG,6-6,220,"April 17, 2001",us US,3,Kansas,DEN,2026
32,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,11,Arizona,DEN,2026
14,DaRon Holmes,PF,6-9,225,"August 15, 2002",us US,R,Dayton,DEN,2026
5,Tyus Jones,PG,6-0,196,"May 10, 1996",us US,10,Duke,DEN,2026
1,Curtis Jones (TW),SG,6-3,195,"December 4, 2001",us US,R,"Indian Hills Community College, Buffalo, Iowa State",DEN,2026
25,KJ Simpson (TW),PG,6-2,189,"August 8, 2002",us US,1,Colorado,DEN,2026
45,David Roddy (TW),PF,6-5,255,"March 27, 2001",us US,3,Colorado State,DEN,2026
