No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
31,Keita Bates-Diop,SF,6-8,229,"January 23, 1996",us US,3,Ohio State,SAS,2022
18,Devontae Cacok,PF,6-7,240,"October 8, 1996",us US,2,UNC Wilmington,SAS,2022
23,Zach Collins,C,6-9,250,"November 19, 1997",us US,3,Gonzaga,SAS,2022
14,Drew Eubanks,C,6-10,245,"February 1, 1997",us US,3,Oregon State,SAS,2022
7,Bryn Forbes,SG,6-2,205,"July 23, 1993",us US,5,Michigan State,SAS,2022
41,Juancho HernangÃ³mez,PF,6-9,214,"September 28, 1995",es ES,5,,SAS,2022
3,Keldon Johnson,SF,6-6,220,"October 11, 1999",us US,2,Kentucky,SAS,2022
28,Tyler Johnson,PG,6-3,186,"May 7, 1992",us US,7,Fresno State,SAS,2022
33,Tre Jones,PG,6-1,185,"January 8, 2000",us US,1,Duke,SAS,2022
35,Anthony Lamb,SF,6-6,227,"January 20, 1998",us US,1,University of Vermont,SAS,2022
34,Jock Landale,C,6-11,255,"October 25, 1995",au AU,R,Saint Mary's,SAS,2022
35,Romeo Langford,SG,6-5,216,"October 25, 1999",us US,2,Indiana,SAS,2022
17,Doug McDermott,PF,6-7,225,"January 3, 1992",us US,7,Creighton,SAS,2022
16,Jaylen Morris,SG,6-5,185,"September 19, 1995",us US,2,Molloy,SAS,2022
5,Dejounte Murray,PG,6-4,180,"September 19, 1996",us US,4,Washington,SAS,2022
25,Jakob Poeltl,C,7-0,253,"October 15, 1995",at AT,5,Utah,SAS,2022
11,Joshua Primo,SF,6-4,189,"December 24, 2002",ca CA,R,Alabama,SAS,2022
7,Josh Richardson,SG,6-5,200,"September 15, 1993",us US,6,Tennessee,SAS,2022
45,TomÃ¡Å¡ SatoranskÃ½,SF,6-7,210,"October 30, 1991",cz CZ,5,,SAS,2022
24,Devin Vassell,SF,6-5,200,"August 23, 2000",us US,1,Florida State,SAS,2022
1,Lonnie Walker IV,SG,6-4,204,"December 14, 1998",us US,3,Miami (FL),SAS,2022
4,Derrick White,SG,6-4,190,"July 2, 1994",us US,4,"Colorado-Colorado Springs, Colorado",SAS,2022
15,Joe Wieskamp,SG,6-6,205,"August 23, 1999",us US,R,Iowa,SAS,2022
30,Thaddeus Young,PF,6-8,225,"June 21, 1988",us US,14,Georgia Tech,SAS,2022
