No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
55,Darius Bazley,C,6-9,216,"June 12, 2000",us US,3,,OKC,2023
14,Jared Butler,PG,6-3,193,"August 25, 2000",us US,1,Baylor,OKC,2023
13,Ousmane Dieng,PF,6-9,185,"May 21, 2003",fr FR,R,,OKC,2023
5,Luguentz Dort,SF,6-4,220,"April 19, 1999",ca CA,3,Arizona State,OKC,2023
3,Josh Giddey,PF,6-7,216,"October 10, 2002",au AU,1,,OKC,2023
2,Shai Gilgeous-Alexander,PG,6-6,195,"July 12, 1998",ca CA,4,Kentucky,OKC,2023
11,Isaiah Joe,SG,6-4,165,"July 2, 1999",us US,2,Arkansas,OKC,2023
23,Tre Mann,PG,6-4,178,"February 3, 2001",us US,1,Florida,OKC,2023
33,Mike Muscala,C,6-10,240,"July 1, 1991",us US,9,Bucknell,OKC,2023
97,Eugene Omoruyi,SF,6-6,235,"February 14, 1997",ng NG,1,"Rutgers University, Oregon",OKC,2023
17,Aleksej Pokusevski,PF,7-0,210,"December 26, 2001",rs RS,2,,OKC,2023
50,Jeremiah Robinson-Earl,PF,6-9,240,"November 3, 2000",us US,1,Villanova,OKC,2023
9,Dario Å ariÄ,C,6-10,225,"April 8, 1994",hr HR,5,,OKC,2023
30,Olivier Sarr,C,6-10,240,"February 20, 1999",fr FR,1,"Wake Forest, Kentucky",OKC,2023
12,Lindy Waters III,SG,6-5,210,"July 28, 1997",us US,1,Oklahoma State,OKC,2023
21,Aaron Wiggins,SG,6-5,190,"January 2, 1999",us US,1,Maryland,OKC,2023
8,Jalen Williams,SG,6-5,211,"April 14, 2001",us US,R,Santa Clara,OKC,2023
6,Jaylin Williams,C,6-9,240,"June 29, 2002",us US,R,Arkansas,OKC,2023
34,Kenrich Williams,PF,6-7,210,"December 2, 1994",us US,4,TCU,OKC,2023
