No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
13,Bam Adebayo,C,6-9,255,"July 18, 1997",us US,7,Kentucky,MIA,2025
20,Kyle Anderson,SF,6-8,230,"September 20, 1993",us US,10,UCLA,MIA,2025
31,Thomas Bryant,C,6-9,248,"July 31, 1997",us US,7,Indiana,MIA,2025
18,Alec Burks,SG,6-5,214,"July 20, 1991",us US,13,Colorado,MIA,2025
22,Jimmy Butler,PF,6-6,230,"September 14, 1989",us US,13,"Tyler Junior College, Marquette",MIA,2025
8,Josh Christopher,SG,6-4,215,"December 8, 2001",us US,2,Arizona State,MIA,2025
14,Tyler Herro,SG,6-5,195,"January 20, 2000",us US,5,Kentucky,MIA,2025
24,Haywood Highsmith,SF,6-5,220,"December 9, 1996",us US,4,Wheeling University,MIA,2025
11,Jaime Jaquez Jr.,SF,6-6,225,"February 18, 2001",us US,1,UCLA,MIA,2025
16,Keshad Johnson,SF,6-6,225,"June 23, 2001",us US,R,"San Diego State, Arizona",MIA,2025
5,Nikola JoviÄ,PF,6-10,205,"June 9, 2003",gb GB,2,,MIA,2025
9,Pelle Larsson,SG,6-5,215,"February 23, 2001",se SE,R,"Utah, Arizona",MIA,2025
42,Kevin Love,PF,6-10,251,"September 7, 1988",us US,16,UCLA,MIA,2025
45,Davion Mitchell,PG,6-0,202,"September 5, 1998",us US,3,"Auburn, Baylor",MIA,2025
0,Josh Richardson,SG,6-5,200,"September 15, 1993",us US,9,Tennessee,MIA,2025
55,Duncan Robinson,SF,6-7,215,"April 22, 1994",us US,6,"Williams, Michigan",MIA,2025
2,Terry Rozier,PG,6-1,190,"March 17, 1994",us US,9,Louisville,MIA,2025
12,Dru Smith,SG,6-2,203,"December 30, 1997",us US,2,"University of Evansville, Missouri",MIA,2025
4,Isaiah Stevens,PG,5-11,185,"November 1, 2000",us US,R,Colorado State,MIA,2025
7,Kel'el Ware,C,7-0,230,"April 20, 2004",us US,R,"Oregon, Indiana",MIA,2025
22,Andrew Wiggins,SF,6-6,197,"February 23, 1995",ca CA,10,Kansas,MIA,2025
