No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
6,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca CA,2,Virginia Tech,UTA,2022
20,Udoka Azubuike,C,6-11,270,"September 17, 1999",ng NG,1,Kansas,UTA,2022
44,Bojan BogdanoviÄ,PF,6-7,226,"April 18, 1989",ba BA,7,,UTA,2022
13,Jared Butler,SG,6-3,193,"August 25, 2000",us US,R,Baylor,UTA,2022
6,Zylan Cheatham,SF,6-5,220,"November 17, 1995",us US,1,"San Diego State, Arizona State",UTA,2022
0,Jordan Clarkson,SG,6-5,194,"June 7, 1992",us US,7,"Tulsa, Missouri",UTA,2022
11,Mike Conley,PG,6-1,175,"October 11, 1987",us US,14,Ohio State,UTA,2022
24,Malik Fitts,PF,6-5,230,"July 4, 1997",us US,1,"South Florida, Saint Mary's",UTA,2022
3,Trent Forrest,PG,6-4,210,"June 12, 1998",us US,1,Florida State,UTA,2022
8,Rudy Gay,PF,6-8,250,"August 17, 1986",us US,15,UConn,UTA,2022
27,Rudy Gobert,C,7-1,258,"June 26, 1992",fr FR,8,,UTA,2022
41,Juancho HernangÃ³mez,PF,6-9,214,"September 28, 1995",es ES,5,,UTA,2022
25,Danuel House Jr.,SF,6-6,220,"June 7, 1993",us US,5,Texas A&M,UTA,2022
33,Elijah Hughes,SF,6-5,215,"March 10, 1998",us US,1,"Syracuse, East Carolina University",UTA,2022
2,Joe Ingles,SF,6-8,220,"October 2, 1987",au AU,7,,UTA,2022
45,Donovan Mitchell,SG,6-2,215,"September 7, 1996",us US,4,Louisville,UTA,2022
10,Greg Monroe,C,6-11,265,"June 4, 1990",us US,9,Georgetown,UTA,2022
23,Royce O'Neale,SF,6-6,226,"June 5, 1993",us US,4,"Denver, Baylor",UTA,2022
81,Miye Oni,SG,6-5,206,"August 4, 1997",us US,2,Yale,UTA,2022
0,Eric Paschall,PF,6-6,255,"November 4, 1996",us US,2,"Fordham, Villanova",UTA,2022
5,Norvel Pelle,C,6-10,231,"February 3, 1993",ag AG,2,,UTA,2022
19,Xavier Sneed,SF,6-5,215,"December 21, 1997",us US,R,Kansas State,UTA,2022
15,Denzel Valentine,SG,6-4,220,"November 16, 1993",us US,4,Michigan State,UTA,2022
21,Hassan Whiteside,C,7-0,265,"June 13, 1989",us US,9,Marshall,UTA,2022
