Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
1,Nickeil Alexander-Walker,SG,27,ATL,6,6,35.5,4.5,11.8,.380,3.0,7.2,.419,1.5,4.7,.321,.507,1.7,2.5,.667,0.5,1.8,2.3,2.7,0.5,0.8,2.8,2.0,13.7,2026
2,Grayson Allen,SG,30,PHO,2,0,19.0,3.0,6.5,.462,2.0,5.5,.364,1.0,1.0,1.000,.615,1.5,2.0,.750,0.5,1.5,2.0,2.0,0.0,1.0,0.0,1.5,9.5,2026
3,Jarrett Allen,C,27,CLE,18,18,29.4,4.8,7.6,.635,0.0,0.0,,4.8,7.6,.635,.635,3.1,5.3,.579,3.2,4.0,7.2,1.1,1.0,1.7,0.9,2.0,12.7,2026
4,Jose Alvarado,PG,27,NYK,14,0,8.6,1.7,3.5,.490,0.7,1.8,.400,1.0,1.7,.583,.592,0.2,0.2,1.000,0.0,1.1,1.1,1.1,0.7,0.1,0.6,0.9,4.4,2026
5,Kyle Anderson,SF,32,MIN,8,0,7.6,0.8,2.1,.353,0.0,0.1,.000,0.8,2.0,.375,.353,0.4,1.0,.375,0.3,0.6,0.9,1.9,0.3,0.0,0.8,0.8,1.9,2026
6,OG Anunoby,PF,28,NYK,13,13,33.6,6.5,11.5,.564,2.4,4.9,.484,4.1,6.5,.624,.668,4.2,4.8,.857,1.1,5.5,6.6,1.8,1.5,1.0,0.5,2.5,19.5,2026
7,Deni Avdija,SF,25,POR,5,5,34.8,7.0,15.6,.449,1.4,4.0,.350,5.6,11.6,.483,.494,6.8,9.4,.723,0.6,5.4,6.0,4.6,0.4,0.6,3.4,3.8,22.2,2026
8,Deandre Ayton,C,27,LAL,10,10,28.5,4.6,8.4,.548,0.0,0.0,,4.6,8.4,.548,.548,0.8,1.3,.615,3.7,5.9,9.6,0.9,0.2,0.8,1.3,2.8,10.0,2026
9,Paolo Banchero,PF,23,ORL,7,7,39.0,8.6,20.4,.420,2.0,6.0,.333,6.6,14.4,.455,.469,7.1,10.6,.676,1.3,7.7,9.0,6.3,1.4,0.7,3.4,2.6,26.3,2026
10,Desmond Bane,SG,27,ORL,7,7,36.1,6.1,15.7,.391,3.6,8.3,.431,2.6,7.4,.346,.505,2.3,2.9,.800,1.4,3.3,4.7,1.9,1.9,0.3,1.6,4.0,18.1,2026
11,Dalano Banton,PG,26,BOS,2,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2026
12,Dominick Barlow,PF,22,PHI,9,0,10.7,1.1,1.9,.588,0.0,0.1,.000,1.1,1.8,.625,.588,0.7,0.8,.857,0.7,1.0,1.7,0.1,0.2,0.4,0.2,1.0,2.9,2026
13,Harrison Barnes,PF,33,SAS,19,0,9.4,0.7,2.1,.333,0.3,1.4,.231,0.4,0.7,.538,.410,0.7,0.9,.824,0.8,0.5,1.4,0.3,0.1,0.1,0.3,0.4,2.4,2026
14,Scottie Barnes,PF,24,TOR,7,7,39.0,8.4,16.6,.509,1.1,3.0,.381,7.3,13.6,.537,.543,6.1,7.7,.796,1.6,4.6,6.1,8.6,1.1,1.7,3.4,3.0,24.1,2026
15,RJ Barrett,SF,25,TOR,7,7,38.7,9.0,18.9,.477,2.4,6.3,.386,6.6,12.6,.523,.542,3.7,5.9,.634,2.0,5.0,7.0,4.0,1.3,0.3,3.6,3.4,24.1,2026
16,Jamison Battle,SF,24,TOR,6,0,11.8,1.8,3.2,.579,1.2,1.8,.636,0.7,1.3,.500,.763,0.0,0.0,,0.5,1.3,1.8,0.2,0.0,0.0,0.2,1.0,4.8,2026
17,Joan Beringer,PF,19,MIN,5,0,4.6,1.0,1.8,.556,0.0,0.0,,1.0,1.8,.556,.556,1.2,1.6,.750,1.0,1.2,2.2,0.0,0.4,0.4,0.6,0.0,3.2,2026
18,Goga Bitadze,C,26,ORL,6,0,13.8,1.0,2.5,.400,0.0,0.0,,1.0,2.5,.400,.400,0.8,1.2,.714,2.2,1.8,4.0,0.3,0.3,1.7,0.7,2.3,2.8,2026
19,Bismack Biyombo,C,33,SAS,9,0,2.8,0.3,0.8,.429,0.0,0.0,,0.3,0.8,.429,.429,0.0,0.0,,0.1,0.2,0.3,0.0,0.0,0.2,0.2,0.4,0.7,2026
