No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
7,Kel'el Ware,C,7-0,230,"April 20, 2004",us US,1,"Oregon, Indiana",MIA,2026
11,Jaime Jaquez Jr.,SF,6-6,225,"February 18, 2001",us US,2,UCLA,MIA,2026
13,Bam Adebayo,C,6-9,255,"July 18, 1997",us US,8,Kentucky,MIA,2026
9,Pelle Larsson,SG,6-5,215,"February 23, 2001",se SE,1,"Utah, Arizona",MIA,2026
45,Davion Mitchell,PG,6-0,202,"September 5, 1998",us US,4,"Auburn, Baylor",MIA,2026
0,Simone Fontecchio,SF,6-7,209,"December 9, 1995",it IT,3,,MIA,2026
12,Dru Smith,SG,6-2,203,"December 30, 1997",us US,3,"University of Evansville, Missouri",MIA,2026
22,Andrew Wiggins,SF,6-6,197,"February 23, 1995",ca CA,11,Kansas,MIA,2026
24,Norman Powell,SG,6-3,215,"May 25, 1993",us US,10,UCLA,MIA,2026
25,Kasparas JakuÄionis,PG,6-5,200,"May 29, 2006",lt LT,R,Illinois,MIA,2026
5,Nikola JoviÄ,PF,6-10,205,"June 9, 2003",gb GB,3,,MIA,2026
15,Myron Gardner,SF,6-5,220,"May 21, 2001",us US,R,"South Plains College, Georgetown, Little Rock",MIA,2026
14,Tyler Herro,SG,6-5,195,"January 20, 2000",us US,6,Kentucky,MIA,2026
16,Keshad Johnson,SF,6-6,225,"June 23, 2001",us US,1,"San Diego State, Arizona",MIA,2026
17,Jahmir Young,PG,6-0,185,"October 7, 2000",us US,1,"UNC Charlotte, Maryland",MIA,2026
50,Vladislav Goldin (TW),C,7-0,250,"May 12, 2001",ru RU,R,"Texas Tech, Florida Atlantic University, Michigan",MIA,2026
8,Trevor Keels (TW),SG,6-3,215,"August 26, 2003",us US,1,Duke,MIA,2026
