Rk,Unnamed: 1,Salary,Team,Season
1,Franz Wagner,"$38,661,750",ORL,2026
2,Desmond Bane,"$36,725,670",ORL,2026
3,Jalen Suggs,"$35,000,000",ORL,2026
4,Paolo Banchero,"$15,334,769",ORL,2026
5,Jonathan Isaac,"$15,000,000",ORL,2026
6,Wendell Carter Jr.,"$10,850,000",ORL,2026
7,Goga Bitadze,"$8,333,333",ORL,2026
8,Anthony Black,"$7,970,280",ORL,2026
9,Jett Howard,"$5,529,720",ORL,2026
10,Moritz Wagner,"$5,000,000",ORL,2026
11,Tristan Da Silva,"$3,809,520",ORL,2026
12,Jase Richardson,"$2,983,320",ORL,2026
13,Noah Penda,"$1,272,870",ORL,2026
14,Jevon Carter,"$871,000",ORL,2026
