Rk,Unnamed: 1,Salary,Team,Season
1,LeBron James,"$39,219,566",LAL,2021
2,Anthony Davis,"$32,742,000",LAL,2021
3,Dennis Schr̦der,"$16,000,000",LAL,2021
4,Kentavious Caldwell-Pope,"$12,073,020",LAL,2021
5,Montrezl Harrell,"$9,258,000",LAL,2021
6,Luol Deng,"$5,000,000",LAL,2021
7,Wesley Matthews,"$3,623,000",LAL,2021
8,Kyle Kuzma,"$3,562,178",LAL,2021
9,Alex Caruso,"$2,750,000",LAL,2021
10,Marc Gasol,"$2,564,753",LAL,2021
11,Quinn Cook,"$1,797,183",LAL,2021
12,Alfonzo McKinnie,"$1,762,796",LAL,2021
13,Jared Dudley,"$1,620,564",LAL,2021
14,Markieff Morris,"$1,620,564",LAL,2021
15,Talen Horton-Tucker,"$1,517,981",LAL,2021
16,Jordan Bell,"$580,062",LAL,2021
17,Andre Drummond,"$554,988",LAL,2021
18,Ben McLemore,"$455,090",LAL,2021
19,Damian Jones,"$221,996",LAL,2021
20,Kostas Antetokounmpo,$0,LAL,2021
21,Devontae Cacok,$0,LAL,2021
