No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
11,Oso Ighodaro,PF,6-11,235,"July 14, 2002",us US,1,Marquette,PHO,2026
12,Collin Gillespie,PG,6-1,195,"June 25, 1999",us US,2,Villanova,PHO,2026
0,Royce O'Neale,SF,6-6,226,"June 5, 1993",us US,8,"Denver, Baylor",PHO,2026
23,Jordan Goodwin,PG,6-3,215,"October 23, 1998",us US,4,Saint Louis,PHO,2026
0,Ryan Dunn,SF,6-7,216,"January 7, 2003",us US,1,Virginia,PHO,2026
1,Devin Booker,SG,6-5,206,"October 30, 1996",us US,10,Kentucky,PHO,2026
15,Mark Williams,C,7-1,240,"December 16, 2001",us US,3,Duke,PHO,2026
3,Dillon Brooks,SF,6-7,225,"January 22, 1996",ca CA,8,Oregon,PHO,2026
20,Rasheer Fleming,PF,6-9,240,"July 10, 2004",us US,R,Saint Joseph's,PHO,2026
8,Grayson Allen,SG,6-3,198,"October 8, 1995",us US,7,Duke,PHO,2026
17,Jamaree Bouyea,PG,6-2,180,"June 27, 1999",us US,3,San Francisco,PHO,2026
10,Khaman Maluach,C,7-1,250,"September 14, 2006",ss SS,R,Duke,PHO,2026
18,Isaiah Livers (TW),PF,6-6,232,"July 28, 1998",us US,3,Michigan,PHO,2026
4,Jalen Green,SG,6-4,186,"February 9, 2002",us US,4,,PHO,2026
2,Amir Coffey,SG,6-7,210,"June 17, 1997",us US,6,Minnesota,PHO,2026
14,Koby Brea (TW),SG,6-5,215,"November 6, 2002",us US,R,"Dayton, Kentucky",PHO,2026
19,Haywood Highsmith,SF,6-5,220,"December 9, 1996",us US,5,Wheeling University,PHO,2026
22,CJ Huntley (TW),SF,6-9,190,"January 6, 2002",us US,R,Appalachian State University,PHO,2026
