No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us US,5,Florida State,MIN,2022
22,Patrick Beverley,PG,6-2,180,"July 12, 1988",us US,9,Arkansas,MIN,2022
9,Leandro Bolmaro,SF,6-6,200,"September 11, 2000",ar AR,R,,MIN,2022
1,Anthony Edwards,SG,6-4,225,"August 5, 2001",us US,1,Georgia,MIN,2022
13,Nathan Knight,PF,6-8,253,"September 20, 1997",us US,1,William & Mary,MIN,2022
10,Jake Layman,SF,6-8,209,"March 7, 1994",us US,5,Maryland,MIN,2022
3,Jaden McDaniels,PF,6-9,185,"September 29, 2000",us US,1,Washington,MIN,2022
6,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",us US,2,USC,MIN,2022
55,Greg Monroe,C,6-11,265,"June 4, 1990",us US,9,Georgetown,MIN,2022
4,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us US,2,Washington,MIN,2022
20,Josh Okogie,SG,6-4,213,"September 1, 1998",ng NG,3,Georgia Tech,MIN,2022
12,Taurean Prince,PF,6-6,218,"March 22, 1994",us US,5,Baylor,MIN,2022
11,Naz Reid,C,6-9,264,"August 26, 1999",us US,2,LSU,MIN,2022
0,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,6,Ohio State,MIN,2022
30,Chris Silva,PF,6-8,234,"September 19, 1996",ga GA,2,South Carolina,MIN,2022
32,Karl-Anthony Towns,C,7-0,248,"November 15, 1995",us US,6,Kentucky,MIN,2022
8,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,3,Kentucky,MIN,2022
25,McKinley Wright IV,PG,5-11,192,"October 25, 1998",us US,R,Colorado,MIN,2022
