Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,49,33,49,33,3.06,0.02,3.08,117.6,114.6,98.3,0.271,0.378,0.565,13.4,25.0,0.219,0.536,11.3,75.6,0.178,Footprint Center,699911,PHO,2024
Lg Rank,8,21,9,9,8.0,14.0,8.0,9.0,13.0,15.0,3.0,21.0,6.0,27.0,11.0,1.0,7.0,25.0,17.0,7.0,,24,PHO,2024
