G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
45,"Wed, Jan 18, 2023",7:30p,,Box Score,@,New York Knicks,W,,116,105,19,26,W 1,19164,2:13,,WAS,2023
46,"Sat, Jan 21, 2023",7:00p,,Box Score,,Orlando Magic,W,,138,118,20,26,W 2,18171,2:15,,WAS,2023
47,"Tue, Jan 24, 2023",8:30p,,Box Score,@,Dallas Mavericks,W,,127,126,21,26,W 3,20077,2:25,,WAS,2023
48,"Wed, Jan 25, 2023",8:00p,,Box Score,@,Houston Rockets,W,,108,103,22,26,W 4,15302,2:15,,WAS,2023
49,"Sat, Jan 28, 2023",8:00p,,Box Score,@,New Orleans Pelicans,W,,113,103,23,26,W 5,17692,2:23,,WAS,2023
50,"Mon, Jan 30, 2023",8:00p,,Box Score,@,San Antonio Spurs,W,,127,106,24,26,W 6,11970,2:09,,WAS,2023
51,"Fri, Feb 3, 2023",7:00p,,Box Score,,Portland Trail Blazers,L,,116,124,24,27,L 1,20476,2:11,,WAS,2023
52,"Sat, Feb 4, 2023",6:00p,,Box Score,@,Brooklyn Nets,L,,123,125,24,28,L 2,17732,2:27,,WAS,2023
53,"Mon, Feb 6, 2023",7:00p,,Box Score,,Cleveland Cavaliers,L,,91,114,24,29,L 3,16744,1:58,,WAS,2023
54,"Wed, Feb 8, 2023",7:00p,,Box Score,,Charlotte Hornets,W,,118,104,25,29,W 1,16097,2:08,,WAS,2023
55,"Sat, Feb 11, 2023",7:00p,,Box Score,,Indiana Pacers,W,,127,113,26,29,W 2,18387,2:07,,WAS,2023
56,"Mon, Feb 13, 2023",10:00p,,Box Score,@,Golden State Warriors,L,,126,135,26,30,L 1,18064,2:11,,WAS,2023
57,"Tue, Feb 14, 2023",10:00p,,Box Score,@,Portland Trail Blazers,W,,126,101,27,30,W 1,18004,,,WAS,2023
58,"Thu, Feb 16, 2023",8:00p,,Box Score,@,Minnesota Timberwolves,W,,114,106,28,30,W 2,17136,2:09,,WAS,2023
59,"Fri, Feb 24, 2023",7:00p,,Box Score,,New York Knicks,L,,109,115,28,31,L 1,20476,2:14,,WAS,2023
60,"Sun, Feb 26, 2023",3:30p,,Box Score,@,Chicago Bulls,L,,82,102,28,32,L 2,21106,2:11,,WAS,2023
61,"Tue, Feb 28, 2023",7:30p,,Box Score,@,Atlanta Hawks,W,,119,116,29,32,W 1,17395,2:12,,WAS,2023
62,"Thu, Mar 2, 2023",7:00p,,Box Score,,Toronto Raptors,W,,119,108,30,32,W 2,14643,2:08,,WAS,2023
63,"Sat, Mar 4, 2023",5:00p,,Box Score,,Toronto Raptors,L,OT,109,116,30,33,L 1,18174,2:24,,WAS,2023
64,"Sun, Mar 5, 2023",7:30p,,Box Score,,Milwaukee Bucks,L,,111,117,30,34,L 2,18746,2:11,,WAS,2023
65,"Tue, Mar 7, 2023",7:00p,,Box Score,@,Detroit Pistons,W,,119,117,31,34,W 1,17855,2:06,,WAS,2023
66,"Wed, Mar 8, 2023",7:00p,,Box Score,,Atlanta Hawks,L,,120,122,31,35,L 1,15087,2:14,,WAS,2023
67,"Fri, Mar 10, 2023",7:00p,,Box Score,,Atlanta Hawks,L,,107,114,31,36,L 2,18161,2:23,,WAS,2023
68,"Sun, Mar 12, 2023",6:00p,,Box Score,@,Philadelphia 76ers,L,,93,112,31,37,L 3,21220,2:12,,WAS,2023
69,"Tue, Mar 14, 2023",7:00p,,Box Score,,Detroit Pistons,W,,117,97,32,37,W 1,15279,2:01,,WAS,2023
70,"Fri, Mar 17, 2023",7:30p,,Box Score,@,Cleveland Cavaliers,L,,94,117,32,38,L 1,19432,2:11,,WAS,2023
71,"Sat, Mar 18, 2023",8:00p,,Box Score,,Sacramento Kings,L,,118,132,32,39,L 2,18529,2:07,,WAS,2023
72,"Tue, Mar 21, 2023",7:00p,,Box Score,@,Orlando Magic,L,,112,122,32,40,L 3,16096,2:12,,WAS,2023
73,"Wed, Mar 22, 2023",7:00p,,Box Score,,Denver Nuggets,L,,104,118,32,41,L 4,16508,2:08,,WAS,2023
74,"Fri, Mar 24, 2023",7:00p,,Box Score,,San Antonio Spurs,W,,136,124,33,41,W 1,17004,2:01,,WAS,2023
75,"Sun, Mar 26, 2023",6:00p,,Box Score,@,Toronto Raptors,L,,104,114,33,42,L 1,19800,2:06,,WAS,2023
76,"Tue, Mar 28, 2023",7:00p,,Box Score,,Boston Celtics,W,,130,111,34,42,W 1,20476,2:02,,WAS,2023
77,"Fri, Mar 31, 2023",7:00p,,Box Score,,Orlando Magic,L,,109,116,34,43,L 1,16411,2:15,,WAS,2023
78,"Sun, Apr 2, 2023",6:00p,,Box Score,@,New York Knicks,L,,109,118,34,44,L 2,19812,2:02,,WAS,2023
79,"Tue, Apr 4, 2023",7:00p,,Box Score,,Milwaukee Bucks,L,,128,140,34,45,L 3,19098,2:10,,WAS,2023
80,"Wed, Apr 5, 2023",7:30p,,Box Score,@,Atlanta Hawks,L,,116,134,34,46,L 4,17727,2:11,,WAS,2023
81,"Fri, Apr 7, 2023",7:00p,,Box Score,,Miami Heat,W,,114,108,35,46,W 1,20476,2:14,,WAS,2023
82,"Sun, Apr 9, 2023",1:00p,,Box Score,,Houston Rockets,L,,109,114,35,47,L 1,15233,2:05,,WAS,2023
