No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
12,Jake LaRavia,PF,6-7,235,"November 3, 2001",us US,3,"Indiana State University, Wake Forest",LAL,2026
5,Deandre Ayton,C,7-0,252,"July 23, 1998",bs BS,7,Arizona,LAL,2026
28,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,6,Gonzaga,LAL,2026
11,Jaxson Hayes,C,7-0,220,"May 23, 2000",us US,6,Texas,LAL,2026
2,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,7,Kentucky,LAL,2026
77,Luka DonÄiÄ,PG,6-8,230,"February 28, 1999",si SI,7,,LAL,2026
36,Marcus Smart,SG,6-3,220,"March 6, 1994",us US,11,Oklahoma State,LAL,2026
23,LeBron James,SF,6-9,250,"December 30, 1984",us US,22,,LAL,2026
4,Dalton Knecht,SF,6-6,215,"April 19, 2001",us US,1,"Northeastern Junior College, University of Northern Colorado, Tennessee",LAL,2026
15,Austin Reaves,SG,6-5,197,"May 29, 1998",us US,4,"Wichita State, Oklahoma",LAL,2026
14,Maxi Kleber,PF,6-10,240,"January 29, 1992",de DE,8,,LAL,2026
9,Bronny James,SG,6-2,210,"October 6, 2004",us US,1,USC,LAL,2026
10,Luke Kennard,SG,6-5,206,"June 24, 1996",us US,8,Duke,LAL,2026
20,Nick Smith Jr.,SG,6-2,185,"April 18, 2004",us US,2,Arkansas,LAL,2026
17,Drew Timme (TW),PF,6-9,235,"September 9, 2000",us US,1,Gonzaga,LAL,2026
1,Adou Thiero,SF,6-7,220,"May 8, 2004",us US,R,"Kentucky, Arkansas",LAL,2026
30,Chris MaÃ±on (TW),SG,6-4,209,"December 9, 2001",us US,R,"Cornell, Vanderbilt",LAL,2026
